,Team,Att,Rush_Yds,YPC,TD,20+,40+,Lng,Rush_1st,Rush_1st%,Rush_FUM,Years
466,Redskins,429,1566,3.7,9,10,2,48,81,18.9,11,2015
467,Buccaneers,455,2162,4.8,12,20,5,84,99,21.8,9,2015
468,Seahawks,500,2268,4.5,10,12,2,69,128,25.6,7,2015
469,49ers,390,1544,4.0,7,6,2,47,83,21.3,8,2015
470,Chargers,393,1358,3.5,4,9,1,53,79,20.1,7,2015
471,Steelers,388,1724,4.4,16,15,3,55,91,23.5,5,2015
472,Cardinals,452,1917,4.2,16,12,5,63,92,20.4,8,2015
473,Eagles,442,1743,3.9,15,12,2,63,110,24.9,10,2015
474,Jets,448,1868,4.2,11,13,2,58,99,22.1,6,2015
475,Giants,403,1609,4.0,5,8,0,39,77,19.1,4,2015
476,Saints,397,1491,3.8,16,6,2,70,98,24.7,3,2015
477,Patriots,383,1404,3.7,14,4,0,38,87,22.7,2,2015
478,Vikings,474,2211,4.7,18,14,6,80,113,23.8,9,2015
479,Dolphins,344,1496,4.3,11,12,1,85,72,20.9,4,2015
480,Raiders,370,1457,3.9,7,10,2,54,74,20.0,6,2015
481,Rams,429,1956,4.6,16,19,7,71,92,21.4,12,2015
482,Chiefs,436,2044,4.7,19,13,2,52,116,26.6,5,2015
483,Jaguars,354,1473,4.2,5,8,1,45,69,19.5,9,2015
484,Colts,396,1438,3.6,6,7,0,37,77,19.4,6,2015
485,Texans,472,1731,3.7,7,7,1,41,90,19.1,5,2015
486,Titans,371,1485,4.0,10,10,2,87,66,17.8,9,2015
487,Packers,436,1850,4.2,8,9,1,65,100,22.9,8,2015
488,Lions,354,1335,3.8,7,7,0,36,71,20.1,7,2015
489,Broncos,411,1718,4.2,13,11,2,72,85,20.7,5,2015
490,Cowboys,408,1890,4.6,8,17,3,50,94,23.0,7,2015
491,Browns,380,1529,4.0,5,10,2,54,81,21.3,5,2015
492,Bengals,467,1805,3.9,18,5,0,38,99,21.2,8,2015
493,Bears,468,1854,4.0,13,6,0,27,108,23.1,5,2015
494,Panthers,526,2282,4.3,19,11,3,47,136,25.9,8,2015
495,Bills,509,2432,4.8,19,19,4,60,122,24.0,9,2015
496,Ravens,383,1478,3.9,8,7,1,44,89,23.2,6,2015
497,Falcons,420,1606,3.8,13,8,1,46,95,22.6,9,2015
498,Redskins,379,1696,4.5,17,10,4,66,89,23.5,7,2016
499,Buccaneers,453,1616,3.6,8,5,2,45,80,17.7,8,2016
500,Seahawks,403,1591,3.9,13,7,4,75,85,21.1,6,2016
501,49ers,458,2019,4.4,15,11,2,47,116,25.3,8,2016
502,Chargers,398,1510,3.8,10,9,3,48,90,22.6,6,2016
503,Steelers,409,1760,4.3,13,5,2,60,97,23.7,6,2016
504,Cardinals,399,1732,4.3,20,10,4,58,97,24.3,11,2016
505,Eagles,438,1813,4.1,16,7,0,30,114,26.0,9,2016
506,Jets,418,1802,4.3,10,11,0,35,97,23.2,6,2016
507,Giants,398,1412,3.5,6,7,0,25,73,18.3,2,2016
508,Saints,404,1742,4.3,17,8,2,75,105,26.0,2,2016
509,Patriots,482,1872,3.9,19,8,3,44,109,22.6,8,2016
510,Vikings,380,1205,3.2,9,6,0,36,66,17.4,3,2016
511,Dolphins,405,1824,4.5,14,12,5,62,90,22.2,11,2016
512,Raiders,434,1922,4.4,17,19,2,75,98,22.6,8,2016
513,Rams,375,1252,3.3,9,6,0,30,68,18.1,6,2016
514,Chiefs,412,1748,4.2,15,12,5,70,86,20.9,5,2016
515,Jaguars,392,1631,4.2,8,7,3,57,75,19.1,9,2016
516,Colts,409,1628,4.0,13,4,0,33,93,22.7,5,2016
517,Texans,456,1859,4.1,8,10,1,45,102,22.4,8,2016
518,Titans,476,2187,4.6,16,8,3,75,115,24.2,10,2016
519,Packers,374,1701,4.5,11,13,2,61,91,24.3,5,2016
520,Lions,350,1310,3.7,9,6,1,42,76,21.7,2,2016
521,Broncos,410,1484,3.6,11,4,1,64,76,18.5,5,2016
522,Cowboys,499,2396,4.8,24,17,3,60,142,28.5,9,2016
523,Browns,350,1712,4.9,13,12,3,85,83,23.7,12,2016
524,Bengals,446,1769,4.0,17,6,3,74,100,22.4,5,2016
525,Bears,380,1735,4.6,10,13,2,69,93,24.5,9,2016
526,Panthers,453,1814,4.0,16,10,1,47,99,21.9,6,2016
527,Bills,492,2630,5.3,29,27,5,75,146,29.7,11,2016
528,Ravens,367,1463,4.0,10,8,1,41,79,21.5,4,2016
529,Falcons,421,1928,4.6,20,15,4,75,108,25.7,3,2016
530,Redskins,401,1448,3.6,10,3,1,61,66,16.5,10,2017
531,Buccaneers,389,1450,3.7,8,5,0,36,76,19.5,7,2017
532,Seahawks,409,1629,4.0,4,12,0,33,85,20.8,7,2017
533,49ers,408,1662,4.1,15,8,1,61,88,21.6,7,2017
534,Chargers,419,1595,3.8,10,10,1,87,84,20.0,5,2017
535,Steelers,437,1667,3.8,12,6,0,29,96,22.0,4,2017
536,Cardinals,409,1386,3.4,6,5,0,33,66,16.1,9,2017
537,Eagles,473,2115,4.5,9,19,3,71,108,22.8,11,2017
538,Jets,427,1702,4.0,13,14,5,75,77,18.0,6,2017
539,Giants,394,1549,3.9,6,8,2,75,66,16.8,5,2017
540,Saints,444,2070,4.7,23,17,5,74,111,25.0,5,2017
541,Patriots,448,1889,4.2,16,10,1,44,107,23.9,4,2017
542,Vikings,501,1957,3.9,15,15,2,58,100,20.0,4,2017
543,Dolphins,360,1388,3.9,4,10,4,69,66,18.3,5,2017
544,Raiders,370,1554,4.2,13,10,4,52,78,21.1,8,2017
545,Rams,454,1953,4.3,17,12,1,57,97,21.4,8,2017
546,Chiefs,405,1903,4.7,12,15,4,70,95,23.5,3,2017
547,Jaguars,527,2262,4.3,18,13,5,90,101,19.2,9,2017
548,Colts,451,1661,3.7,11,8,0,35,94,20.8,7,2017
549,Texans,448,1842,4.1,8,6,2,49,86,19.2,4,2017
550,Titans,443,1833,4.1,18,12,3,75,97,21.9,4,2017
551,Packers,386,1724,4.5,13,11,1,46,99,25.6,4,2017
552,Lions,363,1221,3.4,10,7,0,34,58,16.0,6,2017
553,Broncos,457,1852,4.1,8,8,1,40,92,20.1,5,2017
554,Cowboys,480,2170,4.5,18,12,2,70,127,26.5,1,2017
555,Browns,384,1714,4.5,11,7,1,59,97,25.3,5,2017
556,Bengals,377,1366,3.6,6,8,0,25,72,19.1,4,2017
557,Bears,422,1788,4.2,13,10,5,53,93,22.0,10,2017
558,Panthers,490,2102,4.3,15,10,5,69,121,24.7,10,2017
559,Bills,487,2017,4.1,12,17,1,48,105,21.6,8,2017
560,Ravens,460,1856,4.0,14,8,1,50,111,24.1,5,2017
561,Falcons,430,1847,4.3,12,11,2,52,101,23.5,9,2017
562,Redskins,414,1774,4.3,12,7,3,90,96,23.2,6,2018
563,Buccaneers,389,1523,3.9,11,5,0,28,80,20.6,5,2018
564,Seahawks,534,2560,4.8,15,17,2,61,133,24.9,6,2018
565,49ers,423,1902,4.5,7,15,3,66,98,23.2,13,2018
566,Chargers,399,1873,4.7,16,16,1,41,100,25.1,2,2018
567,Steelers,345,1445,4.2,16,10,0,30,88,25.5,4,2018
568,Cardinals,355,1342,3.8,9,6,1,53,76,21.4,6,2018
569,Eagles,398,1570,3.9,12,7,0,32,94,23.6,5,2018
570,Jets,410,1622,4.0,11,11,3,77,84,20.5,9,2018
571,Giants,354,1650,4.7,13,17,7,78,71,20.1,0,2018
572,Saints,471,2025,4.3,26,9,1,49,134,28.5,7,2018
573,Patriots,478,2037,4.3,18,12,0,34,131,27.4,2,2018
574,Vikings,357,1493,4.2,9,13,1,70,66,18.5,6,2018
575,Dolphins,371,1738,4.7,7,12,3,75,75,20.2,7,2018
576,Raiders,387,1628,4.2,9,8,2,52,86,22.2,8,2018
577,Rams,459,2231,4.9,23,14,2,56,134,29.2,2,2018
578,Chiefs,387,1855,4.8,16,19,1,45,108,27.9,4,2018
579,Jaguars,416,1723,4.1,7,9,2,43,92,22.1,5,2018
580,Colts,408,1718,4.2,13,9,2,53,96,23.5,5,2018
581,Texans,472,2021,4.3,12,8,2,97,94,19.9,4,2018
582,Titans,454,2023,4.5,15,10,2,99,106,23.3,4,2018
583,Packers,333,1667,5.0,14,10,1,67,98,29.4,4,2018
584,Lions,404,1660,4.1,11,10,1,71,91,22.5,3,2018
585,Broncos,393,1907,4.9,18,12,3,65,107,27.2,4,2018
586,Cowboys,439,1963,4.5,13,12,1,41,113,25.7,10,2018
587,Browns,411,1893,4.6,15,18,5,92,93,22.6,6,2018
588,Bengals,359,1682,4.7,13,16,3,51,92,25.6,2,2018
589,Bears,468,1938,4.1,16,17,1,42,108,23.1,9,2018
590,Panthers,416,2136,5.1,17,15,3,59,117,28.1,7,2018
591,Bills,468,1984,4.2,15,15,1,45,108,23.1,7,2018
592,Ravens,547,2441,4.5,19,14,1,43,153,28.0,16,2018
593,Falcons,351,1573,4.5,11,14,3,65,84,23.9,4,2018
594,Redskins,356,1583,4.4,9,11,2,65,74,20.8,7,2019
595,Buccaneers,409,1521,3.7,15,10,1,49,81,19.8,6,2019
596,Seahawks,481,2200,4.6,15,14,2,59,121,25.2,11,2019
597,49ers,498,2305,4.6,23,16,4,83,110,22.1,8,2019
598,Chargers,366,1453,4.0,12,9,1,40,90,24.6,7,2019
599,Steelers,395,1447,3.7,7,9,1,45,75,19.0,7,2019
600,Cardinals,396,1990,5.0,18,16,1,80,109,27.5,3,2019
601,Eagles,454,1939,4.3,16,7,2,65,104,22.9,9,2019
602,Jets,383,1257,3.3,6,2,0,24,61,15.9,5,2019
603,Giants,362,1685,4.7,11,13,3,68,89,24.6,9,2019
604,Saints,405,1738,4.3,12,11,1,40,97,24.0,3,2019
605,Patriots,447,1703,3.8,17,6,0,33,110,24.6,3,2019
606,Vikings,476,2133,4.5,19,15,4,75,106,22.3,10,2019
607,Dolphins,349,1156,3.3,10,3,0,28,64,18.3,7,2019
608,Raiders,437,1893,4.3,13,11,3,60,104,23.8,9,2019
609,Rams,401,1499,3.7,20,8,0,27,92,22.9,6,2019
610,Chiefs,375,1569,4.2,16,10,3,91,93,24.8,5,2019
611,Jaguars,389,1708,4.4,3,10,4,81,85,21.9,3,2019
612,Colts,471,2130,4.5,17,14,3,63,131,27.8,3,2019
613,Texans,434,2009,4.6,17,13,4,58,112,25.8,11,2019
614,Titans,445,2223,5.0,21,14,5,74,104,23.4,8,2019
615,Packers,411,1795,4.4,18,7,3,56,90,21.9,3,2019
616,Lions,407,1649,4.1,7,7,2,44,82,20.1,5,2019
617,Broncos,409,1662,4.1,11,8,1,40,77,18.8,2,2019
618,Cowboys,449,2153,4.8,18,11,2,44,120,26.7,7,2019
619,Browns,393,1901,4.8,15,11,4,88,90,22.9,5,2019
620,Bengals,385,1517,3.9,9,8,1,41,85,22.1,3,2019
621,Bears,395,1458,3.7,8,5,2,55,85,21.5,5,2019
622,Panthers,386,1819,4.7,20,7,5,84,82,21.2,7,2019
623,Bills,465,2054,4.4,13,13,1,41,120,25.8,13,2019
624,Ravens,596,3296,5.5,21,23,5,63,188,31.5,12,2019
625,Falcons,362,1361,3.8,10,6,0,28,84,23.2,4,2019
626,Football ,400,1611,4.0,18,7,1,40,108,27.0,3,2020
627,Buccaneers,369,1519,4.1,16,9,2,98,82,22.2,3,2020
628,Seahawks,411,1971,4.8,15,11,1,50,111,27.0,6,2020
629,49ers,437,1889,4.3,19,8,2,80,101,23.1,6,2020
630,Chargers,466,1784,3.8,12,10,0,36,111,23.8,8,2020
631,Steelers,373,1351,3.6,12,10,2,59,81,21.7,7,2020
632,Cardinals,479,2237,4.7,22,17,2,69,136,28.4,9,2020
633,Eagles,403,2027,5.0,16,12,5,82,114,28.3,15,2020
634,Jets,406,1683,4.1,9,4,1,46,94,23.2,2,2020
635,Giants,399,1768,4.4,13,9,3,80,91,22.8,5,2020
636,Saints,494,2265,4.6,30,14,3,49,147,29.8,9,2020
637,Patriots,502,2346,4.7,20,13,3,49,143,28.5,8,2020
638,Vikings,468,2283,4.9,20,10,1,70,139,29.7,5,2020
639,Dolphins,428,1688,3.9,15,7,0,31,100,23.4,5,2020
640,Raiders,457,1916,4.2,20,9,1,43,121,26.5,9,2020
641,Rams,473,2018,4.3,19,9,4,61,123,26.0,4,2020
642,Chiefs,403,1799,4.5,13,10,0,32,110,27.3,5,2020
643,Jaguars,337,1519,4.5,9,6,1,47,80,23.7,3,2020
644,Colts,459,1996,4.3,20,12,3,62,129,28.1,1,2020
645,Texans,344,1466,4.3,10,5,1,48,83,24.1,7,2020
646,Titans,521,2690,5.2,26,20,5,94,142,27.3,5,2020
647,Packers,443,2118,4.8,16,10,4,77,114,25.7,4,2020
648,Lions,367,1499,4.1,17,5,1,54,93,25.3,5,2020
649,Broncos,442,1918,4.3,13,13,3,65,94,21.3,7,2020
650,Cowboys,430,1788,4.2,14,7,2,42,115,26.7,7,2020
651,Browns,495,2374,4.8,21,21,4,59,133,26.9,7,2020
652,Bengals,411,1668,4.1,13,9,2,55,92,22.4,8,2020
653,Bears,393,1647,4.2,12,8,3,80,93,23.7,1,2020
654,Panthers,407,1704,4.2,19,6,1,45,110,27.0,7,2020
655,Bills,411,1723,4.2,16,10,1,51,119,29.0,6,2020
656,Ravens,555,3071,5.5,24,31,5,72,166,29.9,11,2020
657,Falcons,409,1532,3.7,13,6,1,62,86,21.0,5,2020
658,Football ,477,2061,4.3,13,8,0,38,129,27.0,10,2021
659,Buccaneers,385,1672,4.3,18,9,2,55,106,27.5,3,2021
660,Seahawks,413,2074,5.0,18,18,3,73,106,25.7,4,2021
661,49ers,499,2166,4.3,22,12,1,49,130,26.1,5,2021
662,Chargers,423,1834,4.3,18,7,1,75,112,26.5,3,2021
