,Team,Att,Cmp,Cmp_%,Yds/Att,Pass_Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY,Years
678,Titans,535,359,67.1,7,3745,22,14,90,194,36.3,35,7,57,47,327,2021
679,Packers,593,402,67.8,7.6,4526,39,7,107.4,235,39.6,61,11,75,33,211,2021
680,Lions,593,396,66.8,6.5,3884,23,14,88.1,193,32.5,49,5,75,36,286,2021
681,Broncos,541,354,65.4,7.1,3856,20,9,91.7,179,33.1,46,7,64,40,263,2021
682,Cowboys,647,444,68.6,7.7,4963,40,11,104.8,248,38.3,63,9,73,33,163,2021
683,Browns,520,320,61.5,7,3619,21,14,84.6,177,34,47,9,71,49,299,2021
684,Bengals,555,384,69.2,8.7,4806,36,14,106.9,208,37.5,63,16,82,55,403,2021
685,Bears,542,332,61.3,6.7,3635,16,20,75.5,180,33.2,40,7,64,58,428,2021
686,Panthers,599,348,58.1,6,3573,14,21,68.5,174,29,36,5,64,52,334,2021
687,Bills,655,415,63.4,6.8,4450,36,16,91.3,236,36,51,8,61,27,166,2021
688,Ravens,611,396,64.8,7,4267,21,18,84.4,209,34.2,54,6,49,57,306,2021
689,Falcons,573,377,65.8,7,3987,20,15,86.6,196,34.2,44,7,64,40,274,2021
