,Team,Att,Cmp,Cmp_%,Yds/Att,Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,Years
66,Cardinals,535,335,62.6,7.5,3874,29,17,90.3,196,36.6,48,12,78,21,2002
67,Eagles,563,333,59.1,6.1,3094,18,15,76.4,160,28.4,35,4,57,56,2002
68,Jets,551,359,65.2,6.7,3490,17,15,83.2,178,32.3,33,7,72,30,2002
69,Giants,541,311,57.5,6.2,3119,17,11,77.9,162,29.9,41,5,63,37,2002
70,Saints,593,343,57.8,6.8,3805,25,20,78.8,191,32.2,51,12,77,39,2002
71,Patriots,531,314,59.1,6.4,3179,23,18,78.2,158,29.8,33,6,52,34,2002
72,Vikings,542,335,61.8,7.9,4103,33,16,94.6,198,36.5,65,11,84,27,2002
73,Dolphins,520,294,56.5,6.6,3102,20,21,72.7,162,31.2,44,10,73,47,2002
74,Raiders,570,346,60.7,6.6,3526,21,21,77.3,189,33.2,39,8,54,43,2002
75,Rams,461,292,63.3,7.5,3209,15,12,86.0,148,32.1,42,7,83,38,2002
76,Chiefs,616,403,65.4,7.1,4181,27,18,88.8,227,36.9,50,8,82,34,2002
77,Jaguars,519,314,60.5,6.7,3264,19,14,81.5,188,36.2,37,10,60,36,2002
78,Colts,468,288,61.5,6.8,2917,19,10,86.1,148,31.6,32,4,82,36,2002
79,Texans,512,281,54.9,6.6,3141,23,10,82.1,155,30.3,48,5,57,35,2002
80,Titans,562,339,60.3,6.7,3540,27,18,82.8,197,35.1,40,6,75,40,2002
81,Packers,531,287,54.0,6.1,2987,24,24,68.7,143,26.9,37,11,64,43,2002
82,Lions,591,371,62.8,7.5,4150,27,10,93.6,221,37.4,56,11,60,33,2002
83,Broncos,566,360,63.6,6.3,3337,15,9,83.7,176,31.1,36,6,75,40,2002
84,Cowboys,574,334,58.2,6.2,3449,22,19,75.6,178,31.0,45,7,65,24,2002
85,Browns,513,299,58.3,6.7,3269,20,17,77.8,164,32.0,42,7,72,28,2002
86,Bengals,454,287,63.2,7.5,3262,30,9,99.9,182,40.1,44,5,69,24,2002
87,Bears,547,335,61.2,6.9,3530,24,9,89.7,185,33.8,49,7,85,35,2002
88,Panthers,522,293,56.1,6.4,2993,18,17,73.4,155,29.7,42,5,80,52,2002
89,Bills,495,281,56.8,6.6,3067,24,10,84.7,160,32.3,47,7,81,31,2002
90,Redskins,483,285,59.0,6.9,3195,23,17,81.4,176,36.4,46,6,80,27,2003
91,Buccaneers,475,274,57.7,6.2,2710,16,20,69.7,140,29.5,30,6,75,36,2003
92,Seahawks,573,343,59.9,6.5,3480,24,16,81.4,183,31.9,35,14,72,40,2003
93,49ers,514,310,60.3,6.9,3238,25,23,78.6,165,32.1,45,8,75,42,2003
94,Chargers,524,322,61.5,6.8,3375,36,13,94.3,178,34.0,46,5,60,30,2003
95,Steelers,484,294,60.7,6.7,3042,20,14,82.4,155,32.0,43,10,61,35,2003
96,Cardinals,497,311,62.6,7.4,3589,29,13,93.7,184,37.0,45,7,68,21,2003
97,Eagles,559,337,60.3,6.2,3236,17,13,78.7,171,30.6,38,6,60,38,2003
98,Jets,455,281,61.8,7.1,3025,14,11,83.4,168,36.9,46,5,59,35,2003
99,Giants,519,309,59.5,7.1,3412,25,10,89.5,178,34.3,59,3,64,45,2003
100,Saints,485,264,54.4,6.5,2993,20,14,76.3,165,34.0,38,2,79,32,2003
101,Patriots,618,328,53.1,5.6,3232,11,29,56.2,177,28.6,37,5,67,41,2003
102,Vikings,531,311,58.6,7.0,3477,17,28,68.8,186,35.0,54,5,51,37,2003
103,Dolphins,529,319,60.3,6.8,3335,12,22,70.8,171,32.3,39,9,82,44,2003
104,Raiders,467,286,61.2,7.6,3394,21,14,87.3,159,34.0,52,16,65,25,2003
105,Rams,510,296,58.0,6.6,3072,23,24,73.3,164,32.2,43,6,77,42,2003
106,Chiefs,565,332,58.8,6.4,3363,19,25,70.5,184,32.6,48,5,77,36,2003
107,Jaguars,510,303,59.4,6.6,3251,23,15,82.0,172,33.7,38,6,75,24,2003
108,Colts,445,277,62.2,6.8,2809,18,15,81.8,138,31.0,31,8,74,31,2003
109,Texans,502,297,59.2,7.6,3712,22,14,86.2,179,35.7,55,10,84,19,2003
110,Titans,546,332,60.8,7.0,3606,20,21,78.2,167,30.6,43,11,86,38,2003
111,Packers,589,326,55.3,6.1,3400,18,21,69.0,172,29.2,48,8,68,34,2003
112,Lions,522,331,63.4,7.2,3578,26,15,89.6,166,31.8,42,7,73,28,2003
113,Broncos,495,265,53.5,6.2,2828,17,9,76.2,141,28.5,41,11,66,36,2003
114,Cowboys,492,239,48.6,5.7,2631,18,13,67.6,127,25.8,40,9,76,32,2003
115,Browns,502,297,59.2,6.1,2846,13,15,72.9,160,31.9,27,4,55,35,2003
116,Bengals,508,297,58.5,7.1,3402,23,14,83.9,177,34.8,42,9,73,30,2003
117,Bears,525,326,62.1,6.1,3082,20,15,79.9,156,29.7,32,1,51,18,2003
118,Panthers,522,299,57.3,6.2,3003,19,16,74.8,161,30.8,42,5,65,40,2003
119,Bills,508,285,56.1,5.8,2707,18,10,76.5,153,30.1,26,6,77,38,2003
120,Redskins,515,294,57.1,6.3,2977,17,18,72.2,153,29.7,34,7,80,40,2004
121,Buccaneers,436,247,56.7,6.5,2579,21,16,77.2,131,30.0,38,7,79,45,2004
122,Seahawks,559,340,60.8,6.8,3590,24,23,78.3,191,34.2,43,5,63,36,2004
123,49ers,490,308,62.9,7.5,3486,27,9,96.5,179,36.5,55,7,60,29,2004
124,Chargers,607,372,61.3,6.9,4053,19,23,76.6,200,32.9,56,6,50,29,2004
125,Steelers,484,269,55.6,6.3,2835,14,19,68.0,146,30.2,33,8,58,41,2004
126,Cardinals,505,271,53.7,6.5,3036,18,15,73.2,153,30.3,39,4,75,38,2004
127,Eagles,550,334,60.7,6.3,3212,16,17,75.8,165,30.0,45,6,52,47,2004
128,Jets,497,289,58.1,7.1,3312,21,19,78.3,169,34.0,48,7,65,37,2004
129,Giants,467,292,62.5,7.0,3030,28,14,90.9,170,36.4,44,5,53,40,2004
130,Saints,545,324,59.4,7.5,3888,24,13,87.7,193,35.4,65,5,59,37,2004
131,Patriots,538,315,58.6,6.9,3400,18,20,75.3,177,32.9,44,13,65,45,2004
132,Vikings,544,338,62.1,7.6,3896,30,11,95.5,220,40.4,52,7,62,39,2004
133,Dolphins,434,244,56.2,6.5,2592,20,15,76.9,139,32.0,38,7,69,36,2004
134,Raiders,510,315,61.8,8.1,3924,30,9,99.4,210,41.2,58,7,85,25,2004
135,Rams,492,292,59.3,6.9,3174,24,6,91.6,172,35.0,37,9,71,34,2004
136,Chiefs,522,312,59.8,8.5,4203,32,13,97.5,190,36.4,72,22,65,41,2004
137,Jaguars,497,306,61.6,7.2,3357,18,16,82.0,181,36.4,40,5,54,37,2004
138,Colts,557,364,65.4,7.6,3892,26,19,89.5,209,37.5,53,8,79,45,2004
139,Texans,530,344,64.9,7.1,3615,32,22,88.7,194,36.6,39,7,80,24,2004
140,Titans,524,333,63.5,7.7,3807,29,18,91.2,189,36.1,53,13,62,32,2004
141,Packers,518,314,60.6,7.6,3663,33,8,99.1,181,34.9,60,12,68,40,2004
142,Lions,535,328,61.3,7.0,3514,29,14,89.4,167,31.2,45,8,82,38,2004
143,Broncos,484,272,56.2,6.6,2947,17,12,78.0,130,26.9,41,13,71,38,2004
144,Cowboys,502,310,61.8,7.4,3521,31,13,94.2,180,35.9,41,12,76,33,2004
145,Browns,460,277,60.2,6.7,2901,17,15,79.0,144,31.3,31,10,72,32,2004
146,Bengals,520,313,60.2,6.8,3303,23,20,79.5,158,30.4,44,8,99,37,2004
147,Bears,515,287,55.7,6.8,3340,23,17,78.1,165,32.0,49,11,69,35,2004
148,Panthers,513,303,59.1,7.2,3478,18,26,72.0,177,34.5,51,7,75,34,2004
149,Bills,486,261,53.7,6.1,2624,20,24,65.2,150,30.9,37,9,51,45,2004
150,Redskins,535,291,54.4,6.2,3081,15,16,70.1,158,29.5,44,8,70,35,2005
151,Buccaneers,476,275,57.8,6.6,2929,15,17,73.5,148,31.1,41,7,62,36,2005
152,Seahawks,571,331,58.0,6.8,3559,18,16,77.4,194,34.0,46,6,63,50,2005
153,49ers,576,374,64.9,8.0,4427,28,16,94.2,205,35.6,61,14,78,28,2005
154,Chargers,567,338,59.6,6.9,3599,20,10,84.7,189,33.3,46,5,56,46,2005
155,Steelers,549,315,57.4,6.3,3168,15,15,74.0,179,32.6,38,8,80,47,2005
156,Cardinals,488,301,61.7,6.8,3097,17,15,80.6,158,32.4,38,6,65,37,2005
157,Eagles,503,297,59.0,7.0,3323,24,17,82.2,171,34.0,38,10,61,29,2005
158,Jets,463,284,61.3,6.4,2755,17,21,73.1,151,32.6,33,2,50,30,2005
159,Giants,580,329,56.7,6.6,3584,20,17,76.3,189,32.6,54,5,72,41,2005
160,Saints,418,241,57.7,7.2,2849,20,10,86.2,145,34.7,48,11,68,25,2005
161,Patriots,527,296,56.2,7.4,3703,25,10,87.8,179,34.0,56,14,85,33,2005
162,Vikings,533,319,59.8,6.6,3332,23,24,75.2,177,33.2,36,11,70,34,2005
163,Dolphins,549,323,58.8,6.7,3307,23,14,82.4,183,33.3,42,9,60,49,2005
164,Raiders,486,296,60.9,7.2,3243,18,5,90.7,165,34.0,38,7,78,36,2005
165,Rams,507,314,61.9,7.1,3424,26,13,89.8,178,35.1,47,5,52,41,2005
166,Chiefs,559,325,58.1,6.9,3679,25,16,82.3,189,33.8,46,6,78,29,2005
167,Jaguars,482,285,59.1,6.7,2946,22,19,78.0,158,32.8,36,8,83,47,2005
168,Colts,509,343,67.4,6.8,3151,17,18,83.0,163,32.0,36,5,68,46,2005
169,Texans,469,304,64.8,7.9,3521,24,7,100.0,188,40.1,49,10,56,37,2005
170,Titans,470,296,63.0,7.4,3216,33,9,100.7,180,38.3,43,7,63,41,2005
171,Packers,430,252,58.6,6.7,2680,22,10,86.2,143,33.3,36,6,80,35,2005
172,Lions,487,295,60.6,6.8,3118,19,19,77.6,166,34.1,35,10,80,31,2005
173,Broncos,613,344,56.1,6.3,3643,20,20,72.2,183,29.9,40,7,91,28,2005
174,Cowboys,495,271,54.7,6.7,3083,18,15,75.1,150,30.3,41,9,89,37,2005
175,Browns,471,279,59.2,6.4,2867,19,15,78.2,161,34.2,37,6,51,23,2005
176,Bengals,519,324,62.4,7.2,3569,21,31,72.8,185,35.6,42,6,68,28,2005
