,Team,Att,Cmp,Cmp_%,Yds/Att,Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,Years
294,Titans,604,404,66.9,7.2,4139,31,20,91.2,210,34.8,61,9,72,32,2009
295,Packers,540,294,54.4,6.4,3218,29,30,68.8,168,31.1,49,9,68,37,2009
296,Lions,545,371,68.1,8.1,4249,35,9,107.0,213,39.1,54,17,68,26,2009
297,Broncos,510,298,58.4,6.3,2981,18,17,75.0,167,32.7,40,4,53,39,2009
298,Cowboys,572,344,60.1,6.8,3606,19,11,83.5,186,32.5,45,5,74,42,2009
299,Browns,526,313,59.5,7.9,3915,22,10,90.6,189,35.9,62,13,75,40,2009
300,Bengals,547,318,58.1,6.4,3249,18,19,73.6,165,30.2,41,6,87,34,2009
301,Bears,531,341,64.2,6.9,3382,29,13,92.3,186,35.0,41,4,50,35,2009
302,Panthers,495,305,61.6,6.6,3056,14,22,71.7,155,31.3,37,6,63,31,2009
303,Bills,519,295,56.8,6.0,2948,14,28,61.1,157,30.3,34,5,52,32,2009
304,Ravens,524,306,58.4,6.7,3316,17,22,71.9,164,31.3,48,8,81,32,2009
305,Falcons,536,335,62.5,7.5,3871,25,15,89.5,197,36.8,55,11,65,28,2009
306,Redskins,578,367,63.5,7.5,4187,23,14,89.6,207,35.8,57,10,92,29,2010
307,Buccaneers,521,307,58.9,6.4,3216,23,19,77.6,171,32.8,37,9,65,26,2010
308,Seahawks,585,339,57.9,7.2,3994,31,12,89.7,206,35.2,60,11,69,37,2010
309,49ers,550,358,65.1,7.2,3697,25,15,90.0,188,34.2,48,11,71,36,2010
310,Chargers,488,285,58.4,6.4,2845,18,16,76.2,153,31.4,36,5,71,47,2010
311,Steelers,593,363,61.2,6.3,3425,15,21,73.1,182,30.7,35,7,67,48,2010
312,Cardinals,533,324,60.8,7.3,3654,22,17,83.5,178,33.4,55,7,70,33,2010
313,Eagles,536,309,57.6,7.0,3469,31,23,80.8,185,34.5,54,9,80,39,2010
314,Jets,531,269,50.7,6.5,3210,24,12,77.1,169,31.8,48,5,50,40,2010
315,Giants,539,308,57.1,6.8,3352,24,16,80.5,159,29.5,44,10,87,46,2010
316,Saints,494,306,61.9,6.8,3103,13,9,83.2,150,30.4,42,7,68,33,2010
317,Patriots,611,388,63.5,7.1,4136,25,25,81.2,226,37.0,55,4,66,36,2010
318,Vikings,529,333,62.9,6.7,3367,25,15,86.4,178,33.6,39,7,67,31,2010
319,Dolphins,502,288,57.4,7.1,3348,22,11,85.0,166,33.1,50,11,86,39,2010
320,Raiders,470,249,53.0,7.1,3027,29,12,85.6,150,31.9,51,7,57,47,2010
321,Rams,570,328,57.5,6.8,3578,21,14,80.4,191,33.5,51,5,65,43,2010
322,Chiefs,581,319,54.9,6.5,3519,23,14,78.1,186,32.0,44,10,87,39,2010
323,Jaguars,506,329,65.0,8.3,4004,28,13,98.5,197,38.9,58,13,67,26,2010
324,Colts,535,356,66.5,6.8,3433,22,10,91.7,190,35.5,40,4,61,30,2010
325,Texans,547,354,64.7,8.2,4280,33,13,100.5,211,38.6,56,18,73,30,2010
326,Titans,625,410,65.6,6.9,4032,23,17,86.4,214,34.2,45,10,75,40,2010
327,Packers,527,296,56.2,6.5,3107,16,24,67.2,163,30.9,44,8,85,47,2010
328,Lions,518,330,63.7,7.3,3498,23,14,89.2,187,36.1,43,9,89,44,2010
329,Broncos,502,297,59.2,7.8,3780,26,10,93.0,184,36.7,62,12,73,23,2010
330,Cowboys,540,348,64.4,7.7,3894,33,20,92.8,200,37.0,57,13,91,35,2010
331,Browns,507,309,60.9,7.3,3531,26,19,84.8,195,38.5,49,8,78,29,2010
332,Bengals,514,326,63.4,7.1,3469,21,16,85.2,170,33.1,47,10,54,27,2010
333,Bears,582,363,62.4,6.6,3588,14,21,74.4,183,31.4,44,5,59,34,2010
334,Panthers,526,326,62.0,6.9,3393,19,17,81.0,176,33.5,45,7,56,31,2010
335,Bills,473,294,62.2,6.9,3072,28,11,92.6,179,37.8,38,4,52,27,2010
336,Ravens,596,349,58.6,6.4,3599,22,19,76.4,187,31.4,52,5,88,27,2010
337,Falcons,560,364,65.0,6.9,3625,23,22,82.2,183,32.7,38,6,83,31,2010
338,Redskins,509,308,60.5,7.5,3553,22,13,87.4,180,35.4,58,9,73,41,2011
339,Buccaneers,481,301,62.6,8.2,3814,30,14,97.2,188,39.1,50,12,91,23,2011
340,Seahawks,543,324,59.7,6.9,3518,18,22,74.8,174,32.0,43,10,68,33,2011
341,49ers,579,333,57.5,6.9,3695,20,23,73.6,190,32.8,48,12,77,42,2011
342,Chargers,478,299,62.6,7.9,3591,29,17,92.5,186,38.9,53,10,78,32,2011
343,Steelers,530,289,54.5,5.6,2751,15,11,71.7,156,29.4,34,2,73,35,2011
344,Cardinals,578,340,58.8,6.9,3696,17,10,82.5,174,30.1,58,7,95,42,2011
345,Eagles,518,301,58.1,7.2,3397,27,15,85.7,173,33.4,53,13,74,50,2011
346,Jets,507,275,54.2,6.7,3216,15,19,69.6,167,32.9,43,10,99,35,2011
347,Giants,589,361,61.3,7.5,4082,28,20,86.1,210,35.7,60,7,74,48,2011
348,Saints,626,362,57.8,7.0,4157,24,9,86.4,196,31.3,49,14,72,33,2011
349,Patriots,619,386,62.4,8.0,4703,26,23,86.1,245,39.6,79,9,58,40,2011
350,Vikings,538,367,68.2,8.1,4019,34,8,107.6,213,39.6,55,13,79,50,2011
351,Dolphins,590,350,59.3,7.2,3992,24,16,83.7,198,33.6,63,10,99,41,2011
352,Raiders,601,324,53.9,7.1,4023,31,18,81.3,206,34.3,58,11,81,39,2011
353,Rams,484,293,60.5,7.4,3301,21,12,87.3,166,34.3,49,12,93,39,2011
354,Chiefs,454,257,56.6,7.5,3221,23,20,79.1,169,37.2,55,8,67,29,2011
355,Jaguars,513,326,63.5,6.9,3341,21,17,83.7,175,34.1,43,7,80,31,2011
356,Colts,493,351,71.2,7.8,3632,25,8,103.9,193,39.1,45,6,81,29,2011
357,Texans,538,279,51.9,6.2,3035,18,17,69.0,166,30.9,45,6,56,44,2011
358,Titans,591,369,62.4,6.4,3629,21,11,85.1,187,31.6,54,4,78,28,2011
359,Packers,637,390,61.2,7.8,4796,29,31,80.6,246,38.6,71,10,72,29,2011
360,Lions,604,376,62.3,6.8,3831,26,21,82.1,195,32.3,46,9,80,41,2011
361,Broncos,534,333,62.4,7.5,3704,24,9,93.1,182,34.1,46,13,84,41,2011
362,Cowboys,545,336,61.7,7.6,3906,24,15,88.4,199,36.5,57,9,74,42,2011
363,Browns,469,265,56.5,6.7,2959,16,9,80.6,149,31.8,43,8,80,32,2011
364,Bengals,539,319,59.2,6.8,3385,21,10,85.0,170,31.5,47,7,74,45,2011
365,Bears,631,383,60.7,6.8,4065,22,20,79.3,199,31.5,49,9,79,33,2011
366,Panthers,490,318,64.9,8.4,3949,28,14,98.3,191,39.0,52,11,84,31,2011
367,Bills,507,321,63.3,7.7,3714,30,20,90.4,196,38.7,48,11,65,29,2011
368,Ravens,535,288,53.8,6.4,3140,11,15,68.8,166,31.0,46,8,66,48,2011
369,Falcons,560,340,60.7,7.2,3786,25,19,83.3,186,33.2,56,12,70,33,2011
370,Redskins,636,393,61.8,7.4,4511,31,21,87.0,223,35.1,58,11,85,32,2012
371,Buccaneers,627,410,65.4,7.9,4758,30,18,93.5,226,36.0,69,11,80,27,2012
372,Seahawks,564,327,58.0,6.2,3250,15,18,71.8,186,33.0,40,5,56,36,2012
373,49ers,567,337,59.4,6.1,3203,19,14,78.0,178,31.4,38,7,53,38,2012
374,Chargers,568,347,61.1,6.9,3681,28,14,87.9,201,35.4,45,11,55,38,2012
375,Steelers,523,299,57.2,6.0,2963,19,10,79.0,169,32.3,31,2,71,37,2012
376,Cardinals,497,270,54.3,6.9,3213,20,22,71.2,160,32.2,48,8,80,38,2012
377,Eagles,485,292,60.2,7.6,3470,33,8,99.6,178,36.7,52,11,63,30,2012
378,Jets,494,266,53.8,6.5,3036,20,11,78.2,161,32.6,42,4,83,30,2012
379,Giants,534,341,63.9,8.1,4068,26,21,88.7,196,36.7,60,13,62,33,2012
380,Saints,602,370,61.5,8.1,4681,31,15,93.8,236,39.2,66,14,95,30,2012
381,Patriots,594,369,62.1,7.7,4342,27,20,86.9,207,34.8,74,8,68,37,2012
382,Vikings,612,391,63.9,6.8,3908,28,10,92.3,229,37.4,44,5,73,44,2012
383,Dolphins,600,353,58.8,7.0,3974,18,10,83.4,215,35.8,60,6,66,42,2012
384,Raiders,526,347,66.0,7.5,3775,28,11,97.5,180,34.2,56,12,64,25,2012
385,Rams,547,362,66.2,7.2,3602,16,17,83.9,197,36.0,36,7,68,52,2012
386,Chiefs,464,279,60.1,8.0,3533,29,7,99.9,176,37.9,51,10,62,27,2012
387,Jaguars,535,341,63.7,7.4,3832,21,12,89.8,194,36.3,48,8,59,20,2012
388,Colts,535,334,62.4,7.4,3788,23,12,90.1,190,35.5,44,9,80,32,2012
389,Texans,581,308,53.0,6.7,3612,29,15,80.0,167,28.7,54,11,81,44,2012
390,Titans,564,374,66.3,7.5,3964,31,19,92.7,210,37.2,55,7,82,39,2012
391,Packers,568,313,55.1,6.7,3492,24,18,76.8,191,33.6,50,7,80,47,2012
392,Lions,544,346,63.6,7.0,3569,26,11,91.7,167,30.7,42,13,71,34,2012
393,Broncos,559,321,57.4,6.4,3194,25,16,79.4,183,32.7,39,9,61,52,2012
394,Cowboys,511,320,62.6,7.6,3684,22,7,94.7,195,38.2,52,9,68,34,2012
395,Browns,600,378,63.0,6.9,3923,27,17,86.6,203,33.8,43,8,64,38,2012
396,Bengals,560,346,61.8,6.7,3400,16,14,80.7,183,32.7,51,5,71,51,2012
397,Bears,592,350,59.1,6.3,3423,19,24,71.3,186,31.4,47,4,62,41,2012
398,Panthers,555,371,66.8,6.9,3568,22,11,91.7,195,35.1,38,5,60,39,2012
399,Bills,536,306,57.1,6.8,3473,25,12,84.4,182,34.0,45,7,53,36,2012
400,Ravens,557,335,60.1,7.0,3650,15,13,80.6,187,33.6,49,8,59,37,2012
401,Falcons,551,337,61.2,7.4,3878,14,20,77.1,189,34.3,53,6,77,29,2012
402,Redskins,514,337,65.6,8.0,3896,29,16,96.1,204,39.7,58,7,57,36,2013
403,Buccaneers,547,352,64.4,7.4,3806,30,21,88.9,190,34.7,46,10,80,35,2013
404,Seahawks,524,309,59.0,5.8,2752,16,28,63.4,156,29.8,30,3,73,44,2013
405,49ers,585,345,59.0,6.5,3536,19,18,76.4,181,30.9,43,9,75,38,2013
406,Chargers,548,364,66.4,8.0,4139,23,11,96.4,208,38.0,58,10,74,35,2013
407,Steelers,569,329,57.8,6.6,3553,21,10,82.7,174,30.6,46,12,81,34,2013
408,Cardinals,625,367,58.7,6.5,3728,29,20,80.3,208,33.3,48,5,72,47,2013
409,Eagles,670,408,60.9,7.3,4636,25,19,84.0,239,35.7,62,9,66,37,2013
410,Jets,586,345,58.9,7.1,3947,26,13,86.5,198,33.8,55,15,77,41,2013
411,Giants,601,361,60.1,6.3,3573,21,17,78.3,198,32.9,41,5,56,34,2013
412,Saints,507,304,60.0,6.8,3105,20,12,83.6,168,33.1,40,10,60,49,2013
413,Patriots,589,336,57.0,7.0,3824,25,17,81.0,208,35.3,55,9,80,48,2013
414,Vikings,648,419,64.7,7.5,4595,37,12,98.6,247,38.1,57,9,80,41,2013
415,Dolphins,580,344,59.3,6.9,3752,17,18,77.3,192,33.1,53,10,67,42,2013
416,Raiders,549,374,68.1,7.9,4092,33,9,105.1,202,36.8,55,11,71,38,2013
417,Rams,521,355,68.1,8.1,3874,21,14,94.7,203,39.0,51,11,81,53,2013
418,Chiefs,592,334,56.4,7.2,3962,25,21,78.5,189,31.9,63,16,77,47,2013
419,Jaguars,551,354,64.2,7.6,3962,29,11,96.5,200,36.3,65,8,95,31,2013
420,Colts,536,324,60.4,7.4,3711,21,15,84.6,191,35.6,51,8,81,42,2013
421,Texans,484,287,59.3,6.8,3123,29,7,93.9,158,32.6,37,10,64,32,2013
422,Titans,545,344,63.1,7.0,3612,15,13,83.3,191,35.0,49,3,55,36,2013
423,Packers,539,332,61.6,7.8,3956,30,11,95.9,190,35.3,61,8,67,44,2013
424,Lions,572,338,59.1,7.3,3950,24,15,85.0,197,34.4,52,14,85,33,2013
425,Broncos,613,357,58.2,7.1,4070,29,17,84.5,208,33.9,61,8,82,41,2013
426,Cowboys,623,403,64.7,7.8,4589,33,15,96.0,231,37.1,71,8,87,34,2013
427,Browns,605,363,60.0,6.2,3538,29,14,84.1,197,32.6,41,5,50,40,2013
428,Bengals,614,362,59.0,5.9,3344,22,20,74.2,178,29.0,36,9,74,43,2013
429,Bears,507,315,62.1,7.7,3730,25,19,86.9,184,36.3,59,7,48,31,2013
430,Panthers,563,375,66.6,6.8,3429,17,20,81.4,178,31.6,48,8,73,60,2013
431,Bills,561,310,55.3,6.5,3271,28,23,74.9,170,30.3,47,14,74,57,2013
432,Ravens,552,314,56.9,7.1,3681,25,16,82.2,176,31.9,50,17,79,40,2013
433,Falcons,516,341,66.1,8.0,3897,31,10,102.4,196,38.0,52,17,67,32,2013
434,Redskins,519,345,66.5,8.2,3990,35,7,108.3,195,37.6,56,12,79,36,2014
435,Buccaneers,563,387,68.7,7.6,4084,28,14,97.4,223,39.6,48,5,56,36,2014
436,Seahawks,507,313,61.7,6.3,2970,17,13,80.4,175,34.5,32,6,60,37,2014
437,49ers,551,324,58.8,6.8,3531,29,23,79.5,188,34.1,49,8,63,36,2014
438,Chargers,524,320,61.1,6.9,3427,24,7,91.3,168,32.1,47,5,77,26,2014
439,Steelers,543,350,64.5,7.8,4049,30,11,98.3,193,35.5,50,15,81,33,2014
440,Cardinals,579,365,63.0,7.6,4152,22,18,86.0,195,33.7,62,14,86,35,2014
441,Eagles,591,345,58.4,7.8,4238,30,12,91.6,211,35.7,72,18,81,49,2014
442,Jets,538,345,64.1,7.5,3746,31,6,101.5,194,36.1,45,14,87,45,2014
443,Giants,522,324,62.1,8.0,3850,25,17,89.4,187,35.8,62,13,74,47,2014
444,Saints,546,341,62.5,7.7,4019,26,12,92.9,205,37.5,54,10,73,34,2014
445,Patriots,574,342,59.6,7.2,3837,24,16,84.0,196,34.1,62,8,50,40,2014
446,Vikings,534,353,66.1,7.1,3572,26,13,92.8,189,35.4,44,10,66,41,2014
447,Dolphins,537,338,62.9,7.0,3557,27,14,89.7,194,36.1,47,7,74,39,2014
448,Raiders,538,343,63.8,7.4,3810,29,9,96.9,190,35.3,59,6,70,22,2014
449,Rams,540,368,68.1,7.6,3861,18,13,91.8,189,35.0,44,8,80,40,2014
450,Chiefs,545,318,58.3,6.4,3252,22,6,86.4,184,33.8,41,7,48,46,2014
451,Jaguars,541,355,65.6,7.7,3899,24,6,99.1,200,37.0,60,7,73,45,2014
452,Colts,543,320,58.9,7.2,3669,27,12,88.7,175,32.2,54,11,63,41,2014
453,Texans,619,363,58.6,6.7,3890,28,20,80.4,206,33.3,50,12,80,38,2014
454,Titans,545,347,63.7,7.3,3773,28,12,93.6,211,38.7,47,9,80,39,2014
455,Packers,564,333,59.0,6.9,3623,26,18,82.0,196,34.8,50,8,79,41,2014
456,Lions,592,383,64.7,6.8,3706,23,20,83.0,209,35.3,47,6,50,42,2014
457,Broncos,641,399,62.2,6.0,3607,29,18,82.4,219,34.2,41,4,81,41,2014
458,Cowboys,558,371,66.5,7.5,4031,22,18,88.5,195,34.9,45,14,72,28,2014
459,Browns,587,335,57.1,6.4,3592,22,21,74.1,184,31.3,55,7,75,31,2014
460,Bengals,608,365,60.0,6.6,3888,18,20,75.8,197,32.4,48,6,94,20,2014
461,Bears,548,366,66.8,8.1,4230,34,14,101.7,227,41.4,65,13,73,39,2014
462,Panthers,562,364,64.8,7.0,3645,25,14,89.5,193,34.3,46,5,81,40,2014
463,Bills,559,337,60.3,6.4,3292,16,19,74.5,171,30.6,36,8,56,54,2014
464,Ravens,595,382,64.2,7.3,3979,22,11,90.6,205,34.5,54,10,77,49,2014
465,Falcons,566,359,63.4,8.2,4478,20,16,88.9,224,39.6,56,14,76,22,2014
466,Redskins,566,354,62.5,7.8,4128,30,11,96.1,202,35.7,58,12,62,38,2015
467,Buccaneers,540,378,70.0,7.5,3840,31,11,102.5,208,38.5,45,5,60,38,2015
468,Seahawks,548,333,60.8,6.6,3364,14,14,78.1,175,31.9,49,5,69,37,2015
469,49ers,549,375,68.3,8.0,4179,21,9,98.1,199,36.2,58,13,66,28,2015
470,Chargers,510,328,64.3,7.9,3786,22,11,93.8,170,33.3,54,12,72,32,2015
471,Steelers,625,402,64.3,7.5,4350,29,17,90.9,231,37.0,52,12,80,48,2015
472,Cardinals,573,343,59.9,6.9,3687,24,19,80.9,177,30.9,56,14,88,36,2015
473,Eagles,633,394,62.2,7.1,4273,36,15,92.8,239,37.8,55,9,59,37,2015
474,Jets,601,343,57.1,6.7,3763,25,18,79.0,185,30.8,59,11,72,39,2015
475,Giants,638,423,66.3,7.7,4783,31,15,95.9,236,37.0,62,11,76,23,2015
476,Saints,544,372,68.4,8.7,4544,45,9,116.2,223,41.0,64,17,90,31,2015
477,Patriots,596,361,60.6,7.1,3851,24,12,87.0,204,34.2,57,9,87,49,2015
478,Vikings,561,359,64.0,7.2,3759,24,13,90.0,189,33.7,47,10,72,43,2015
479,Dolphins,542,350,64.6,7.8,4000,31,13,97.4,203,37.5,53,13,84,31,2015
480,Raiders,641,404,63.0,6.8,4140,25,14,86.8,206,32.1,56,7,59,38,2015
481,Rams,597,399,66.8,7.2,4065,21,13,90.4,192,32.2,51,8,87,41,2015
482,Chiefs,607,349,57.5,6.6,3698,25,22,76.0,193,31.8,46,9,55,47,2015
483,Jaguars,602,390,64.8,7.5,4291,29,9,97.2,222,36.9,54,10,71,36,2015
484,Colts,585,354,60.5,7.5,4114,29,17,88.0,210,35.9,64,12,80,35,2015
485,Texans,553,326,59.0,6.6,3366,24,14,82.8,173,31.3,48,12,55,45,2015
486,Titans,502,319,63.5,7.9,3678,34,11,101.3,192,38.2,47,12,69,39,2015
487,Packers,551,321,58.3,7.1,3642,20,16,80.1,183,33.2,46,14,68,43,2015
488,Lions,528,360,68.2,7.7,3786,27,9,100.9,191,36.2,59,11,61,43,2015
489,Broncos,573,344,60.0,6.2,3193,19,14,78.8,162,28.3,41,5,80,52,2015
490,Cowboys,506,330,65.2,7.6,3632,19,8,94.2,172,34.0,54,10,80,31,2015
491,Browns,511,322,63.0,8.2,4012,34,11,101.8,186,36.4,52,16,75,29,2015
492,Bengals,646,415,64.2,6.6,3976,18,21,78.9,202,31.3,39,6,64,42,2015
493,Bears,512,322,62.9,7.5,3593,31,8,99.3,182,35.5,52,10,71,35,2015
494,Panthers,650,390,60.0,6.2,3752,21,24,73.5,198,30.5,53,10,70,44,2015
495,Bills,602,347,57.6,6.8,3972,30,17,83.3,197,32.7,59,11,77,21,2015
496,Ravens,545,350,64.2,7.3,3737,30,6,99.6,189,34.7,51,10,80,37,2015
497,Falcons,561,370,66.0,7.1,3882,19,15,86.9,197,35.1,50,5,74,19,2015
498,Redskins,589,387,65.7,7.4,4130,22,13,91.1,225,38.2,53,8,54,38,2016
499,Buccaneers,548,347,63.3,7.7,4012,24,17,88.8,203,37.0,58,16,68,38,2016
500,Seahawks,537,331,61.6,7.2,3612,16,11,85.0,180,33.5,51,9,80,42,2016
501,49ers,521,322,61.8,7.7,3848,30,10,96.9,187,35.9,59,12,78,33,2016
502,Chargers,580,364,62.8,7.3,3987,21,18,83.8,204,35.2,53,8,64,35,2016
503,Steelers,590,381,64.6,7.0,3882,20,13,87.3,184,31.2,40,10,95,38,2016
504,Cardinals,547,344,62.9,6.8,3365,21,14,85.1,175,32.0,47,8,71,48,2016
505,Eagles,553,333,60.2,7.3,3832,25,16,85.7,177,32.0,57,13,80,34,2016
506,Jets,545,347,63.7,7.5,3898,30,8,98.5,203,37.2,52,13,84,27,2016
507,Giants,630,369,58.6,6.8,4018,15,17,75.8,191,30.3,59,12,71,35,2016
508,Saints,582,378,64.9,7.9,4380,27,9,98.1,230,39.5,48,9,66,30,2016
509,Patriots,596,368,61.7,6.8,3806,21,13,84.4,190,31.9,53,5,66,34,2016
510,Vikings,548,332,60.6,6.6,3327,22,14,83.0,186,33.9,41,5,67,41,2016
511,Dolphins,591,368,62.3,6.9,3875,30,16,88.5,199,33.7,48,9,77,33,2016
512,Raiders,541,328,60.6,7.9,4120,27,16,89.8,188,34.8,61,16,98,25,2016
513,Rams,582,378,64.9,6.7,3732,32,10,95.5,194,33.3,41,6,64,31,2016
514,Chiefs,598,350,58.5,6.9,3958,23,18,79.8,209,34.9,47,7,76,28,2016
515,Jaguars,551,345,62.6,6.6,3444,20,7,88.5,174,31.6,40,12,64,33,2016
516,Colts,582,378,64.9,7.6,4200,27,8,97.5,225,38.7,55,8,49,33,2016
517,Texans,522,319,61.1,6.6,3226,20,11,84.3,157,30.1,38,6,86,31,2016
518,Titans,635,388,61.1,7.2,4307,25,12,88.3,227,35.7,56,12,58,40,2016
519,Packers,571,370,64.8,8.1,4308,32,17,95.9,227,39.8,58,11,73,40,2016
520,Lions,549,399,72.7,7.5,3975,33,10,106.5,206,37.5,50,6,64,26,2016
521,Broncos,552,306,55.4,5.8,2972,13,14,69.7,169,30.6,32,4,80,42,2016
522,Cowboys,633,425,67.1,6.9,4167,25,9,94.1,226,35.7,45,7,67,36,2016
523,Browns,543,347,63.9,7.7,3996,36,10,101.8,220,40.5,52,12,63,26,2016
524,Bengals,593,374,63.1,6.7,3800,22,17,83.1,196,33.1,46,7,74,33,2016
525,Bears,530,342,64.5,7.2,3598,22,8,93.5,188,35.5,50,8,60,37,2016
526,Panthers,612,409,66.8,7.5,4291,27,17,92.0,223,36.4,54,11,87,47,2016
527,Bills,511,306,59.9,7.5,3582,19,12,85.9,183,35.8,46,11,66,39,2016
528,Ravens,578,369,63.8,6.8,3724,28,18,86.9,190,32.9,50,8,79,31,2016
529,Falcons,655,422,64.4,6.9,4267,31,12,92.5,232,35.4,53,5,58,34,2016
530,Redskins,531,306,57.6,7.0,3420,23,16,81.0,171,32.2,54,10,75,42,2017
531,Buccaneers,549,371,67.6,7.8,4169,22,13,94.6,202,36.8,57,12,61,22,2017
532,Seahawks,554,325,58.7,6.5,3347,19,14,79.1,181,32.7,44,5,75,39,2017
533,49ers,544,344,63.2,7.2,3764,27,10,93.9,198,36.4,50,10,72,30,2017
534,Chargers,524,329,62.8,6.5,3156,17,18,78.1,153,29.2,37,4,87,43,2017
535,Steelers,499,297,59.5,7.2,3217,20,16,81.8,157,31.5,48,13,75,56,2017
536,Cardinals,564,343,60.8,6.7,3541,24,15,83.9,187,33.2,44,8,72,37,2017
537,Eagles,601,363,60.4,6.5,3637,24,19,79.5,177,29.5,40,10,77,38,2017
538,Jets,558,329,59.0,7.0,3749,30,11,90.1,191,34.2,61,8,79,28,2017
539,Giants,561,347,61.9,7.5,4038,32,13,94.2,189,33.7,54,13,83,27,2017
540,Saints,554,329,59.4,7.0,3597,22,20,79.0,172,31.0,57,8,53,42,2017
541,Patriots,590,367,62.2,7.3,4020,24,12,89.5,204,34.6,49,10,78,42,2017
542,Vikings,555,324,58.4,6.0,3078,13,14,73.0,168,30.3,35,5,52,37,2017
543,Dolphins,528,339,64.2,7.2,3603,26,9,94.8,190,36.0,57,4,69,30,2017
544,Raiders,530,361,68.1,7.6,3858,24,5,101.8,187,35.3,50,13,74,31,2017
545,Rams,555,324,58.4,6.8,3475,21,18,78.4,181,32.6,54,6,65,48,2017
546,Chiefs,570,325,57.0,7.2,3952,23,16,81.5,204,35.8,53,14,69,31,2017
547,Jaguars,509,289,56.8,6.0,2718,17,21,68.5,143,28.1,40,12,74,55,2017
548,Colts,513,320,62.4,8.0,3946,23,13,91.9,192,37.4,64,11,67,25,2017
549,Texans,501,321,64.1,8.0,3799,30,11,99.5,176,35.1,53,17,94,32,2017
550,Titans,605,369,61.0,6.8,3828,27,12,87.8,231,38.2,37,7,80,43,2017
551,Packers,513,348,67.8,7.9,3789,30,11,102.0,211,41.1,55,8,71,37,2017
552,Lions,570,366,64.2,7.2,3892,21,19,84.1,205,36.0,45,8,97,35,2017
553,Broncos,491,294,59.9,6.9,3210,29,10,91.9,166,33.8,47,6,64,33,2017
554,Cowboys,559,371,66.4,6.7,3425,28,10,94.6,181,32.4,43,6,56,38,2017
555,Browns,525,360,68.6,7.4,3684,28,7,102.3,189,36.0,48,7,61,34,2017
556,Bengals,561,336,59.9,6.5,3379,20,11,82.9,173,30.8,45,8,72,41,2017
557,Bears,529,343,64.8,6.9,3376,18,8,89.9,180,34.0,36,8,88,42,2017
558,Panthers,550,351,63.8,7.2,3665,25,10,92.9,187,34.0,49,8,70,50,2017
559,Bills,573,370,64.6,6.7,3688,14,18,78.9,199,34.7,42,3,77,27,2017
560,Ravens,569,333,58.5,6.5,3421,18,22,72.4,179,31.5,48,7,57,41,2017
561,Falcons,553,362,65.5,6.7,3429,22,8,91.9,197,35.6,43,4,54,39,2017
562,Redskins,537,362,67.4,7.6,3794,27,15,95.1,197,36.7,52,9,90,46,2018
563,Buccaneers,534,387,72.5,8.2,4151,34,9,110.9,209,39.1,56,6,75,38,2018
564,Seahawks,546,355,65.0,7.5,3842,26,12,94.3,201,36.8,58,8,75,43,2018
565,49ers,542,344,63.5,7.3,3732,35,2,105.4,195,36.0,49,9,75,37,2018
566,Chargers,548,351,64.1,7.1,3646,23,13,89.1,178,32.5,52,9,82,38,2018
567,Steelers,566,362,64.0,7.1,3697,27,8,95.2,200,35.3,53,7,71,52,2018
568,Cardinals,506,342,67.6,7.1,3262,21,7,96.1,186,36.8,37,5,64,49,2018
569,Eagles,626,417,66.6,7.4,4308,22,10,93.4,215,34.3,60,6,75,44,2018
570,Jets,582,367,63.1,7.5,4065,29,13,93.1,201,34.5,58,11,70,39,2018
571,Giants,560,362,64.6,7.6,4044,24,16,89.8,205,36.6,61,8,79,30,2018
572,Saints,573,384,67.0,8.1,4302,30,12,100.3,224,39.1,57,14,75,49,2018
573,Patriots,605,370,61.2,6.9,3943,29,18,85.4,208,34.4,57,9,75,30,2018
574,Vikings,503,315,62.6,7.0,3140,15,12,83.3,160,31.8,43,10,70,50,2018
575,Dolphins,508,335,65.9,8.2,3932,31,21,94.1,195,38.4,59,11,73,31,2018
576,Raiders,480,299,62.3,8.2,3853,36,14,101.0,178,37.1,59,15,89,13,2018
577,Rams,533,347,65.1,7.7,3780,31,18,93.8,185,34.7,59,14,73,41,2018
578,Chiefs,632,406,64.2,7.5,4374,30,15,92.7,247,39.1,65,8,49,52,2018
579,Jaguars,499,312,62.5,6.7,3113,17,11,84.4,162,32.5,37,6,78,37,2018
580,Colts,542,384,70.8,7.4,3805,21,15,93.5,203,37.5,41,4,80,38,2018
581,Texans,594,385,64.8,7.5,4167,28,15,92.7,200,33.7,55,13,83,43,2018
582,Titans,533,337,63.2,7.0,3471,21,11,88.4,182,34.1,48,7,75,39,2018
583,Packers,527,336,63.8,7.7,3752,30,7,100.9,199,37.8,54,7,75,44,2018
584,Lions,496,323,65.1,7.9,3599,29,7,102.7,191,38.5,50,10,82,43,2018
585,Broncos,549,353,64.3,7.7,3929,26,17,90.7,197,35.9,56,9,97,44,2018
586,Cowboys,542,367,67.7,7.4,3755,22,9,95.7,193,35.6,43,7,53,39,2018
587,Browns,626,393,62.8,7.0,4125,21,17,83.4,216,34.5,51,8,67,37,2018
588,Bengals,584,389,66.6,7.9,4414,32,12,100.0,221,37.8,60,13,72,34,2018
589,Bears,615,377,61.3,6.3,3515,22,27,72.9,186,30.2,39,9,75,50,2018
590,Panthers,529,353,66.7,7.7,3847,32,13,99.6,185,35.0,51,12,75,35,2018
