,Team,Att,Rush_Yds,YPC,TD,20+,40+,Lng,Rush_1st,Rush_1st%,Rush_FUM,Years
525,Bears,445,1950,4.4,18,12,3,61,99,22.2,3,2016
526,Panthers,376,1465,3.9,11,7,3,75,90,23.9,5,2016
527,Bills,468,2130,4.6,21,14,3,57,122,26.1,10,2016
528,Ravens,384,1430,3.7,10,4,1,85,74,19.3,10,2016
529,Falcons,370,1672,4.5,15,12,1,55,95,25.7,6,2016
530,Redskins,472,2146,4.5,13,14,1,75,105,22.2,8,2017
531,Buccaneers,440,1880,4.3,17,14,1,69,102,23.2,9,2017
532,Seahawks,452,1824,4.0,14,9,3,75,90,19.9,8,2017
533,49ers,491,1861,3.8,13,10,1,45,108,22.0,10,2017
534,Chargers,430,2098,4.9,11,18,6,69,99,23.0,5,2017
535,Steelers,385,1693,4.4,14,10,3,90,89,23.1,4,2017
536,Cardinals,406,1434,3.5,12,9,0,37,68,16.7,7,2017
537,Eagles,337,1267,3.8,7,11,1,53,62,18.4,3,2017
538,Jets,466,1887,4.0,13,13,6,70,88,18.9,9,2017
539,Giants,464,1933,4.2,10,13,1,51,101,21.8,3,2017
540,Saints,406,1787,4.4,11,12,3,50,92,22.7,5,2017
541,Patriots,390,1836,4.7,6,11,2,87,98,25.1,6,2017
542,Vikings,364,1337,3.7,10,6,2,62,59,16.2,4,2017
543,Dolphins,431,1768,4.1,14,13,3,69,88,20.4,9,2017
544,Raiders,433,1743,4.0,11,9,3,48,93,21.5,6,2017
545,Rams,417,1957,4.7,15,12,4,75,86,20.6,8,2017
546,Chiefs,443,1890,4.3,15,6,0,27,112,25.3,4,2017
547,Jaguars,429,1860,4.3,9,6,2,75,91,21.2,8,2017
548,Colts,488,1927,3.9,15,12,2,72,99,20.3,10,2017
549,Texans,440,1747,4.0,14,13,1,75,88,20.0,4,2017
550,Titans,398,1420,3.6,5,3,0,34,68,17.1,9,2017
551,Packers,464,1793,3.9,10,11,0,37,95,20.5,6,2017
552,Lions,432,1800,4.2,18,8,3,51,110,25.5,8,2017
553,Broncos,428,1430,3.3,9,8,3,47,68,15.9,4,2017
554,Cowboys,403,1664,4.1,7,7,1,71,96,23.8,6,2017
555,Browns,467,1566,3.4,14,10,0,39,95,20.3,5,2017
556,Bengals,489,2046,4.2,13,8,1,49,111,22.7,4,2017
557,Bears,432,1730,4.0,10,9,1,58,85,19.7,8,2017
558,Panthers,353,1409,4.0,7,10,2,72,69,19.5,1,2017
559,Bills,466,1994,4.3,22,14,3,51,121,26.0,5,2017
560,Ravens,435,1780,4.1,12,12,3,59,87,20.0,5,2017
561,Falcons,402,1665,4.1,9,6,1,46,97,24.1,8,2017
562,Redskins,413,1860,4.5,12,6,2,78,109,26.4,3,2018
563,Buccaneers,426,1983,4.7,19,17,2,53,122,28.6,5,2018
564,Seahawks,366,1811,4.9,9,14,2,59,91,24.9,7,2018
565,49ers,444,1814,4.1,13,11,0,34,104,23.4,6,2018
566,Chargers,395,1693,4.3,11,11,3,43,101,25.6,6,2018
567,Steelers,369,1538,4.2,13,10,1,51,84,22.8,5,2018
568,Cardinals,510,2479,4.9,25,21,4,65,139,27.3,3,2018
569,Eagles,332,1551,4.7,14,14,4,90,71,21.4,6,2018
570,Jets,440,2021,4.6,16,24,0,38,104,23.6,4,2018
571,Giants,444,1898,4.3,18,11,3,64,103,23.2,7,2018
572,Saints,356,1283,3.6,12,7,0,28,72,20.2,4,2018
573,Patriots,367,1803,4.9,7,11,1,54,93,25.3,8,2018
574,Vikings,440,1815,4.1,13,7,3,75,107,24.3,12,2018
575,Dolphins,485,2325,4.8,17,20,3,71,116,23.9,3,2018
576,Raiders,480,2249,4.7,16,12,7,63,108,22.5,6,2018
577,Rams,386,1957,5.1,12,17,1,51,101,26.2,4,2018
578,Chiefs,425,2114,5.0,19,11,0,30,129,30.4,6,2018
579,Jaguars,434,1870,4.3,16,11,5,99,89,20.5,5,2018
580,Colts,415,1626,3.9,12,11,0,34,87,21.0,5,2018
581,Texans,385,1323,3.4,8,3,0,39,76,19.7,6,2018
582,Titans,429,1863,4.3,9,7,1,97,98,22.8,2,2018
583,Packers,446,1918,4.3,15,10,1,41,100,22.4,6,2018
584,Lions,403,1761,4.4,11,9,5,70,88,21.8,5,2018
585,Broncos,429,1913,4.5,11,15,5,77,85,19.8,6,2018
586,Cowboys,400,1513,3.8,12,9,1,68,89,22.3,7,2018
587,Browns,459,2163,4.7,20,18,1,52,130,28.3,6,2018
588,Bengals,466,2204,4.7,17,15,2,65,125,26.8,3,2018
589,Bears,339,1280,3.8,5,7,0,32,67,19.8,5,2018
590,Panthers,384,1804,4.7,13,17,2,60,110,28.6,9,2018
591,Bills,440,1839,4.2,17,12,1,43,111,25.2,10,2018
592,Ravens,354,1327,3.7,11,6,0,35,82,23.2,2,2018
593,Falcons,409,1999,4.9,16,13,1,92,115,28.1,10,2018
594,Redskins,493,2339,4.7,14,16,4,67,120,24.3,8,2019
595,Buccaneers,362,1181,3.3,11,4,1,59,70,19.3,6,2019
596,Seahawks,388,1883,4.9,22,12,2,80,97,25.0,5,2019
597,49ers,401,1802,4.5,11,9,1,40,105,26.2,9,2019
598,Chargers,429,1805,4.2,15,9,3,84,101,23.5,7,2019
599,Steelers,462,1753,3.8,7,6,0,38,110,23.8,14,2019
600,Cardinals,439,1922,4.4,9,9,1,76,94,21.4,3,2019
601,Eagles,353,1442,4.1,13,10,3,68,76,21.5,8,2019
602,Jets,417,1391,3.3,12,8,1,66,75,18.0,8,2019
603,Giants,469,1812,3.9,19,12,1,41,100,21.3,8,2019
604,Saints,345,1461,4.2,12,9,1,49,71,20.6,7,2019
605,Patriots,365,1528,4.2,7,6,4,65,72,19.7,5,2019
606,Vikings,404,1728,4.3,8,5,2,91,78,19.3,3,2019
607,Dolphins,485,2166,4.5,15,9,2,60,113,23.3,8,2019
608,Raiders,405,1570,3.9,15,9,0,30,91,22.5,3,2019
609,Rams,444,1809,4.1,15,9,1,44,100,22.5,8,2019
610,Chiefs,416,2051,4.9,14,9,2,68,115,27.6,6,2019
611,Jaguars,435,2229,5.1,23,15,6,84,114,26.2,6,2019
612,Colts,383,1567,4.1,8,8,2,60,93,24.3,4,2019
613,Texans,403,1937,4.8,12,15,4,63,98,24.3,4,2019
614,Titans,415,1672,4.0,14,6,4,69,95,22.9,5,2019
615,Packers,411,1921,4.7,15,8,3,75,99,24.1,10,2019
616,Lions,455,1855,4.1,13,7,2,45,94,20.7,7,2019
617,Broncos,426,1783,4.2,9,7,2,81,96,22.5,1,2019
618,Cowboys,407,1656,4.1,14,9,1,59,101,24.8,7,2019
619,Browns,463,2315,5.0,19,14,3,83,124,26.8,10,2019
620,Bengals,504,2382,4.7,17,22,2,57,124,24.6,5,2019
621,Bears,414,1632,3.9,16,9,2,59,86,20.8,5,2019
622,Panthers,445,2296,5.2,31,23,5,60,128,28.8,5,2019
623,Bills,388,1649,4.3,12,12,1,65,93,24.0,6,2019
624,Ravens,340,1494,4.4,12,8,4,88,74,21.8,5,2019
625,Falcons,421,1775,4.2,13,14,0,37,108,25.7,10,2019
626,Football ,428,1805,4.2,14,11,5,50,100,23.4,7,2020
627,Buccaneers,358,1289,3.6,10,4,1,62,78,21.8,5,2020
628,Seahawks,392,1529,3.9,18,7,1,60,97,24.7,6,2020
629,49ers,430,1703,4.0,12,9,2,61,102,23.7,8,2020
630,Chargers,427,1917,4.5,17,13,1,55,112,26.2,8,2020
631,Steelers,414,1783,4.3,13,11,2,74,94,22.7,6,2020
632,Cardinals,436,2008,4.6,13,10,0,38,118,27.1,5,2020
633,Eagles,481,2012,4.2,20,13,5,80,98,20.4,5,2020
634,Jets,445,1792,4.0,16,10,5,80,100,22.5,11,2020
635,Giants,432,1782,4.1,14,9,1,56,115,26.6,10,2020
636,Saints,390,1502,3.9,11,8,1,82,85,21.8,7,2020
637,Patriots,464,2103,4.5,17,10,0,35,131,28.2,2,2020
638,Vikings,472,2151,4.6,19,6,2,42,136,28.8,5,2020
639,Dolphins,412,1862,4.5,17,9,0,37,113,27.4,5,2020
640,Raiders,438,2013,4.6,24,14,2,62,114,26.0,2,2020
641,Rams,388,1460,3.8,12,2,0,27,91,23.5,7,2020
642,Chiefs,433,1954,4.5,14,8,3,65,113,26.1,1,2020
643,Jaguars,517,2452,4.7,23,23,4,56,140,27.1,4,2020
644,Colts,390,1448,3.7,16,4,0,31,94,24.1,4,2020
645,Texans,493,2564,5.2,24,17,7,94,145,29.4,4,2020
646,Titans,427,1933,4.5,18,12,2,59,113,26.5,10,2020
647,Packers,397,1805,4.5,16,9,3,57,119,30.0,3,2020
648,Lions,487,2158,4.4,27,7,2,75,127,26.1,5,2020
649,Broncos,434,2080,4.8,22,17,3,59,106,24.4,6,2020
650,Cowboys,510,2541,5.0,20,18,3,69,142,27.8,9,2020
651,Browns,412,1773,4.3,16,6,1,44,116,28.2,12,2020
652,Bengals,463,2368,5.1,13,20,3,72,126,27.2,4,2020
653,Bears,438,1814,4.1,11,9,0,37,104,23.7,6,2020
654,Panthers,408,1936,4.7,17,11,4,98,114,27.9,6,2020
655,Bills,414,1914,4.6,21,11,0,33,125,30.2,5,2020
656,Ravens,382,1740,4.6,12,12,3,74,96,25.1,7,2020
657,Falcons,380,1677,4.4,15,8,2,45,97,25.5,8,2020
658,Football ,430,1775,4.1,14,8,2,46,101,23.5,6,2021
659,Buccaneers,366,1573,4.3,11,11,1,55,94,25.7,4,2021
660,Seahawks,509,1932,3.8,16,8,1,60,124,24.4,5,2021
661,49ers,439,1760,4.0,17,11,1,73,97,22.1,11,2021
662,Chargers,509,2361,4.6,22,13,1,52,144,28.3,4,2021
663,Steelers,498,2483,5.0,17,24,3,49,144,28.9,7,2021
664,Cardinals,426,1952,4.6,10,8,2,62,109,25.6,6,2021
665,Eagles,458,1834,4.0,18,10,0,38,115,25.1,6,2021
666,Jets,525,2351,4.5,28,16,3,78,129,24.6,10,2021
667,Giants,492,2193,4.5,15,5,1,70,126,25.6,3,2021
668,Saints,426,1589,3.7,12,9,1,58,84,19.7,4,2021
669,Patriots,464,2103,4.5,9,13,3,75,111,23.9,6,2021
670,Vikings,475,2222,4.7,15,9,1,49,131,27.6,4,2021
671,Dolphins,425,1867,4.4,16,13,1,46,106,24.9,6,2021
672,Raiders,462,1943,4.2,18,13,1,51,109,23.6,7,2021
673,Rams,443,1754,4.0,18,4,2,54,111,25.1,6,2021
674,Chiefs,419,1999,4.8,15,11,1,47,121,28.9,10,2021
675,Jaguars,493,2127,4.3,22,12,1,52,124,25.2,4,2021
676,Colts,420,1854,4.4,10,10,2,66,101,24.0,10,2021
677,Texans,523,2418,4.6,25,9,2,83,135,25.8,10,2021
678,Titans,368,1438,3.9,14,3,1,58,90,24.5,4,2021
679,Packers,395,1855,4.7,13,8,0,38,120,30.4,5,2021
680,Lions,518,2296,4.4,19,14,1,48,135,26.1,3,2021
681,Broncos,441,1892,4.3,9,10,0,35,99,22.4,4,2021
682,Cowboys,429,1918,4.5,13,14,0,33,99,23.1,3,2021
683,Browns,437,1857,4.2,13,9,2,57,108,24.7,6,2021
684,Bengals,407,1742,4.3,15,8,2,70,107,26.3,6,2021
685,Bears,483,2127,4.4,14,12,0,39,116,24.0,5,2021
686,Panthers,474,1935,4.1,16,9,2,55,112,23.6,9,2021
687,Bills,442,1866,4.2,19,12,4,76,108,24.4,7,2021
688,Ravens,378,1436,3.8,13,7,2,66,81,21.4,2,2021
689,Falcons,519,2242,4.3,19,7,0,27,143,27.6,8,2021
