,Team,Att,Rush_Yds,YPC,TD,20+,40+,Lng,Rush_1st,Rush_1st%,Rush_FUM,Years
286,Vikings,357,1394,3.9,5,6,1,42,63,17.6,8,2009
287,Dolphins,435,1835,4.2,16,6,1,50,88,20.2,5,2009
288,Raiders,548,2488,4.5,24,19,6,77,126,23.0,12,2009
289,Rams,500,2201,4.4,24,12,6,62,127,25.4,7,2009
290,Chiefs,531,2504,4.7,18,15,4,78,122,23.0,5,2009
291,Jaguars,458,1863,4.1,12,8,3,89,100,21.8,15,2009
292,Colts,467,2024,4.3,10,9,1,64,106,22.7,5,2009
293,Texans,396,1711,4.3,17,14,3,91,91,23.0,10,2009
294,Titans,402,1711,4.3,16,8,4,80,89,22.1,7,2009
295,Packers,371,1333,3.6,5,6,1,42,68,18.3,10,2009
296,Lions,458,2025,4.4,18,18,5,61,95,20.7,9,2009
297,Broncos,458,2059,4.5,11,17,3,56,99,21.6,13,2009
298,Cowboys,365,1448,4.0,7,9,0,35,74,20.3,7,2009
299,Browns,506,2314,4.6,15,11,3,64,120,23.7,9,2009
300,Bengals,399,1573,3.9,12,5,1,57,95,23.8,6,2009
301,Bears,467,2022,4.3,14,14,1,62,105,22.5,10,2009
302,Panthers,450,1997,4.4,15,10,3,46,109,24.2,10,2009
303,Bills,535,2501,4.7,19,18,3,76,134,25.0,6,2009
304,Ravens,435,1492,3.4,8,8,1,58,82,18.9,5,2009
305,Falcons,433,1711,4.0,10,7,1,45,89,20.6,12,2009
306,Redskins,444,2041,4.6,15,13,4,71,106,23.9,7,2010
307,Buccaneers,444,2107,4.7,12,14,1,54,118,26.6,7,2010
308,Seahawks,452,1903,4.2,13,16,3,53,91,20.1,7,2010
309,49ers,447,1547,3.5,9,9,1,43,86,19.2,4,2010
310,Chargers,404,1500,3.7,14,7,1,56,77,19.1,2,2010
311,Steelers,333,1004,3.0,5,1,0,24,61,18.3,5,2010
312,Cardinals,526,2323,4.4,19,19,1,48,123,23.4,10,2010
313,Eagles,423,1766,4.2,12,9,1,61,91,21.5,7,2010
314,Jets,408,1454,3.6,11,8,0,32,70,17.2,12,2010
315,Giants,389,1620,4.2,11,12,3,50,88,22.6,5,2010
316,Saints,421,1797,4.3,13,13,3,68,94,22.3,8,2010
317,Patriots,409,1728,4.2,10,6,0,36,99,24.2,9,2010
318,Vikings,417,1635,3.9,10,10,3,73,87,20.9,7,2010
319,Dolphins,447,1601,3.6,8,4,0,30,84,18.8,4,2010
320,Raiders,474,2138,4.5,14,17,7,76,98,20.7,6,2010
321,Rams,404,1810,4.5,7,15,1,80,88,21.8,5,2010
322,Chiefs,408,1764,4.3,11,10,0,38,88,21.6,9,2010
323,Jaguars,416,1945,4.7,19,14,5,70,98,23.6,4,2010
324,Colts,445,2032,4.6,14,16,3,62,111,24.9,7,2010
325,Texans,433,1751,4.0,16,6,1,42,113,26.1,5,2010
326,Titans,474,1851,3.9,7,11,0,37,107,22.6,11,2010
327,Packers,395,1838,4.7,6,10,1,40,82,20.8,6,2010
328,Lions,443,1999,4.5,18,11,3,80,98,22.1,8,2010
329,Broncos,531,2473,4.7,26,22,5,71,126,23.7,13,2010
330,Cowboys,402,1734,4.3,11,12,2,56,84,20.9,9,2010
331,Browns,505,2070,4.1,7,10,1,55,102,20.2,4,2010
332,Bengals,416,1843,4.4,15,17,3,61,97,23.3,8,2010
333,Bears,386,1441,3.7,14,13,1,45,88,22.8,15,2010
334,Panthers,503,1981,3.9,20,11,3,68,121,24.1,9,2010
335,Bills,571,2714,4.8,18,16,2,43,138,24.2,10,2010
336,Ravens,384,1503,3.9,5,6,2,48,79,20.6,10,2010
337,Falcons,366,1694,4.6,9,10,5,80,87,23.8,8,2010
338,Redskins,438,1884,4.3,15,14,3,67,95,21.7,5,2011
339,Buccaneers,498,2497,5.0,26,28,3,81,135,27.1,10,2011
340,Seahawks,473,1797,3.8,10,8,0,39,96,20.3,4,2011
341,49ers,353,1236,3.5,3,4,0,34,53,15.0,10,2011
342,Chargers,448,1955,4.4,8,15,2,46,102,22.8,3,2011
343,Steelers,399,1597,4.0,7,9,1,42,82,20.6,2,2011
344,Cardinals,475,1986,4.2,15,11,1,48,118,24.8,3,2011
345,Eagles,414,1801,4.4,11,11,4,61,84,20.3,5,2011
346,Jets,451,1777,3.9,17,11,1,70,83,18.4,10,2011
347,Giants,435,1940,4.5,15,11,3,80,103,23.7,10,2011
348,Saints,351,1738,5.0,11,14,4,69,92,26.2,7,2011
349,Patriots,405,1874,4.6,13,10,1,41,101,24.9,10,2011
350,Vikings,439,1712,3.9,10,10,0,28,92,21.0,5,2011
351,Dolphins,412,1530,3.7,8,5,0,24,88,21.4,9,2011
352,Raiders,430,2178,5.1,15,24,5,60,105,24.4,3,2011
353,Rams,510,2433,4.8,17,14,7,91,122,23.9,12,2011
354,Chiefs,508,2112,4.2,14,10,0,35,96,18.9,8,2011
355,Jaguars,435,1667,3.8,14,8,3,68,73,16.8,7,2011
356,Colts,540,2303,4.3,19,11,1,56,136,25.2,5,2011
357,Texans,378,1536,4.1,8,10,1,42,73,19.3,8,2011
358,Titans,461,2053,4.5,10,15,3,80,111,24.1,9,2011
359,Packers,383,1789,4.7,10,9,2,54,96,25.1,6,2011
360,Lions,410,2050,5.0,10,16,6,65,91,22.2,5,2011
361,Broncos,488,2021,4.1,11,14,1,47,101,20.7,5,2011
362,Cowboys,385,1585,4.1,10,7,1,40,78,20.3,6,2011
363,Browns,534,2359,4.4,12,16,1,67,124,23.2,6,2011
364,Bengals,425,1675,3.9,14,10,4,70,94,22.1,8,2011
365,Bears,384,1542,4.0,10,10,3,88,75,19.5,9,2011
366,Panthers,451,2093,4.6,18,15,4,46,110,24.4,10,2011
367,Bills,467,2224,4.8,19,18,3,76,120,25.7,9,2011
368,Ravens,419,1482,3.5,10,4,0,25,79,18.9,10,2011
369,Falcons,372,1552,4.2,10,6,2,74,87,23.4,5,2011
370,Redskins,363,1532,4.2,11,9,2,53,89,24.5,7,2012
371,Buccaneers,377,1320,3.5,13,8,1,64,75,19.9,3,2012
372,Seahawks,368,1649,4.5,8,10,1,74,80,21.7,8,2012
373,49ers,407,1507,3.7,7,9,0,35,72,17.7,5,2012
374,Chargers,406,1542,3.8,10,6,1,41,85,20.9,9,2012
375,Steelers,391,1450,3.7,9,6,1,64,78,19.9,6,2012
376,Cardinals,506,2192,4.3,12,14,1,46,107,21.1,5,2012
377,Eagles,479,2021,4.2,11,13,2,43,108,22.5,7,2012
378,Jets,495,2138,4.3,17,12,5,94,96,19.4,7,2012
379,Giants,449,2066,4.6,9,10,3,78,104,23.2,8,2012
380,Saints,457,2361,5.2,18,19,7,91,116,25.4,6,2012
381,Patriots,415,1630,3.9,10,5,0,31,100,24.1,19,2012
382,Vikings,427,1692,4.0,10,6,2,76,82,19.2,8,2012
383,Dolphins,431,1734,4.0,10,11,3,62,79,18.3,3,2012
384,Raiders,444,1897,4.3,18,13,5,70,95,21.4,3,2012
385,Rams,442,1880,4.3,18,12,4,82,107,24.2,4,2012
386,Chiefs,482,2171,4.5,11,19,2,47,106,22.0,7,2012
387,Jaguars,545,2256,4.1,19,9,4,53,133,24.4,4,2012
388,Colts,428,2200,5.1,14,21,7,86,102,23.8,4,2012
389,Texans,390,1560,4.0,5,13,0,29,94,24.1,10,2012
390,Titans,483,2035,4.2,16,6,1,46,122,25.3,6,2012
391,Packers,418,1896,4.5,12,13,2,82,83,19.9,3,2012
392,Lions,420,1889,4.5,13,12,3,81,107,25.5,4,2012
393,Broncos,404,1458,3.6,5,5,0,36,73,18.1,6,2012
394,Cowboys,441,2003,4.5,17,15,1,43,92,20.9,4,2012
395,Browns,457,1898,4.2,14,9,2,80,104,22.8,9,2012
396,Bengals,423,1715,4.1,13,8,0,32,99,23.4,8,2012
397,Bears,388,1627,4.2,6,10,2,80,75,19.3,12,2012
398,Panthers,416,1761,4.2,11,9,2,65,98,23.6,7,2012
399,Bills,470,2333,5.0,23,19,2,83,136,28.9,11,2012
400,Ravens,492,1965,4.0,15,8,0,31,105,21.3,11,2012
401,Falcons,411,1971,4.8,16,16,8,72,99,24.1,8,2012
402,Redskins,443,1769,4.0,23,11,3,50,102,23.0,8,2013
403,Buccaneers,438,1762,4.0,10,11,3,56,95,21.7,6,2013
404,Seahawks,422,1626,3.9,4,6,1,51,83,19.7,7,2013
405,49ers,397,1535,3.9,11,5,0,30,77,19.4,6,2013
406,Chargers,376,1725,4.6,14,6,1,46,98,26.1,4,2013
407,Steelers,433,1849,4.3,18,7,5,93,106,24.5,7,2013
408,Cardinals,370,1351,3.7,5,10,1,56,68,18.4,6,2013
409,Eagles,443,1668,3.8,12,7,0,35,100,22.6,15,2013
410,Jets,421,1412,3.4,9,6,2,63,68,16.2,5,2013
411,Giants,454,1743,3.8,12,7,0,34,101,22.2,6,2013
412,Saints,387,1786,4.6,11,15,4,52,82,21.2,3,2013
413,Patriots,481,2145,4.5,11,10,0,34,110,22.9,6,2013
414,Vikings,443,1767,4.0,14,14,1,41,101,22.8,7,2013
415,Dolphins,484,1998,4.1,14,8,1,51,114,23.6,5,2013
416,Raiders,442,1727,3.9,15,5,1,45,100,22.6,6,2013
417,Rams,440,1646,3.7,18,12,1,41,87,19.8,8,2013
418,Chiefs,428,1923,4.5,9,15,6,61,88,20.6,4,2013
419,Jaguars,507,2108,4.2,20,14,2,50,121,23.9,10,2013
420,Colts,448,2002,4.5,14,12,1,56,101,22.5,8,2013
421,Texans,454,1958,4.3,11,15,4,80,88,19.4,7,2013
422,Titans,446,1795,4.0,21,9,1,60,108,24.2,9,2013
423,Packers,432,2000,4.6,16,16,1,41,116,26.9,3,2013
424,Lions,377,1596,4.2,10,14,7,78,62,16.4,10,2013
