,Team,Rsh_TD,Rec_TD,Tot_TD,2-PT,Years
177,Bears,11,11,28,0,2005
178,Panthers,17,25,45,0,2005
179,Bills,6,18,26,0,2005
180,Redskins,13,19,34,2,2006
181,Buccaneers,6,14,23,0,2006
182,Seahawks,8,26,37,1,2006
183,49ers,12,16,30,0,2006
184,Chargers,32,24,59,1,2006
185,Steelers,16,23,42,0,2006
186,Cardinals,12,17,33,0,2006
187,Eagles,13,31,49,1,2006
188,Jets,15,17,35,0,2006
189,Giants,14,24,41,0,2006
190,Saints,19,27,49,2,2006
191,Patriots,20,25,46,2,2006
192,Vikings,12,13,32,0,2006
193,Dolphins,7,16,26,2,2006
194,Raiders,5,7,16,0,2006
195,Rams,13,24,39,1,2006
196,Chiefs,17,18,37,1,2006
197,Jaguars,23,17,42,0,2006
198,Colts,17,31,50,1,2006
199,Texans,13,14,30,2,2006
200,Titans,15,13,36,3,2006
201,Packers,9,18,32,0,2006
202,Lions,9,21,31,0,2006
203,Broncos,12,20,34,0,2006
204,Cowboys,21,26,52,2,2006
205,Browns,7,15,25,0,2006
206,Bengals,14,28,43,0,2006
207,Bears,14,24,47,0,2006
208,Panthers,7,19,28,0,2006
209,Bills,9,19,33,0,2006
210,Redskins,15,18,35,2,2007
211,Buccaneers,15,18,36,0,2007
212,Seahawks,9,30,44,0,2007
213,49ers,8,15,24,0,2007
214,Chargers,19,22,49,0,2007
215,Steelers,9,34,46,2,2007
216,Cardinals,9,32,49,0,2007
217,Eagles,12,24,38,0,2007
218,Jets,6,15,26,1,2007
219,Giants,15,23,44,0,2007
220,Saints,14,28,47,4,2007
221,Patriots,17,50,75,1,2007
222,Vikings,22,12,43,3,2007
223,Dolphins,14,12,29,2,2007
224,Raiders,11,17,30,2,2007
225,Rams,5,19,27,1,2007
226,Chiefs,6,17,24,1,2007
227,Jaguars,18,28,50,1,2007
228,Colts,19,32,54,2,2007
229,Texans,12,24,43,3,2007
230,Titans,17,9,28,0,2007
231,Packers,13,30,49,0,2007
232,Lions,13,19,37,0,2007
233,Broncos,10,21,34,0,2007
234,Cowboys,14,36,54,0,2007
235,Browns,13,29,46,2,2007
236,Bengals,10,26,41,1,2007
237,Bears,8,18,34,1,2007
238,Panthers,7,19,28,0,2007
239,Bills,8,12,25,1,2007
240,Ravens,11,13,28,0,2007
241,Falcons,7,18,26,0,2007
242,Redskins,12,14,27,0,2008
243,Buccaneers,13,18,38,1,2008
244,Seahawks,10,18,32,0,2008
245,49ers,10,21,36,1,2008
246,Chargers,13,34,51,2,2008
247,Steelers,16,19,38,0,2008
248,Cardinals,14,31,51,1,2008
249,Eagles,15,23,45,0,2008
250,Jets,20,22,48,2,2008
251,Giants,19,23,45,1,2008
252,Saints,20,34,57,0,2008
253,Patriots,21,21,43,2,2008
254,Vikings,15,22,41,0,2008
255,Dolphins,18,20,40,0,2008
256,Raiders,9,13,27,0,2008
257,Rams,8,11,20,0,2008
258,Chiefs,9,23,35,1,2008
259,Jaguars,17,15,35,0,2008
260,Colts,13,27,45,2,2008
261,Texans,16,21,40,1,2008
262,Titans,24,13,41,1,2008
263,Packers,11,28,48,2,2008
264,Lions,10,18,29,2,2008
265,Broncos,15,25,42,2,2008
266,Cowboys,12,29,43,0,2008
267,Browns,6,11,20,2,2008
268,Bengals,6,11,20,0,2008
269,Bears,15,20,42,1,2008
270,Panthers,30,15,47,1,2008
271,Bills,16,14,35,1,2008
272,Ravens,20,16,42,1,2008
273,Falcons,23,16,43,1,2008
274,Redskins,8,21,29,0,2009
275,Buccaneers,5,18,28,2,2009
276,Seahawks,7,20,30,0,2009
277,49ers,12,23,39,0,2009
278,Chargers,17,29,51,0,2009
279,Steelers,10,28,41,0,2009
280,Cardinals,16,27,46,0,2009
