,Team,FR_TD,SFTY,INT_TD,Years
200,Titans,3,2,2,2006
201,Packers,1,0,4,2006
202,Lions,0,1,1,2006
203,Broncos,0,0,2,2006
204,Cowboys,1,0,3,2006
205,Browns,1,0,1,2006
206,Bengals,0,0,1,2006
207,Bears,2,1,1,2006
208,Panthers,0,1,2,2006
209,Bills,2,0,2,2006
210,Redskins,0,2,2,2007
211,Buccaneers,1,0,1,2007
212,Seahawks,1,1,1,2007
213,49ers,1,1,0,2007
214,Chargers,3,0,2,2007
215,Steelers,0,0,2,2007
216,Cardinals,0,0,6,2007
217,Eagles,0,0,0,2007
218,Jets,1,0,0,2007
219,Giants,2,0,3,2007
220,Saints,2,1,3,2007
221,Patriots,3,0,3,2007
222,Vikings,2,1,6,2007
223,Dolphins,1,0,1,2007
224,Raiders,0,1,2,2007
225,Rams,0,1,2,2007
226,Chiefs,1,1,0,2007
227,Jaguars,1,0,2,2007
228,Colts,1,2,1,2007
229,Texans,3,0,0,2007
230,Titans,0,0,2,2007
231,Packers,3,0,1,2007
232,Lions,1,1,3,2007
233,Broncos,2,1,0,2007
234,Cowboys,1,0,2,2007
235,Browns,0,1,1,2007
236,Bengals,2,1,1,2007
237,Bears,0,1,1,2007
238,Panthers,1,0,1,2007
239,Bills,1,2,2,2007
240,Ravens,0,0,1,2007
241,Falcons,1,0,0,2007
242,Redskins,0,0,0,2008
243,Buccaneers,1,0,3,2008
244,Seahawks,1,0,2,2008
245,49ers,0,0,1,2008
246,Chargers,1,1,2,2008
247,Steelers,1,1,2,2008
248,Cardinals,1,0,2,2008
249,Eagles,3,1,2,2008
250,Jets,2,0,3,2008
251,Giants,0,3,2,2008
252,Saints,0,1,0,2008
253,Patriots,0,0,0,2008
254,Vikings,2,3,0,2008
255,Dolphins,0,1,2,2008
256,Raiders,0,2,0,2008
257,Rams,1,0,0,2008
258,Chiefs,1,0,2,2008
259,Jaguars,1,1,2,2008
260,Colts,2,0,2,2008
261,Texans,0,0,1,2008
262,Titans,0,0,3,2008
263,Packers,1,0,6,2008
264,Lions,1,1,0,2008
265,Broncos,2,0,0,2008
266,Cowboys,0,1,1,2008
267,Browns,0,0,2,2008
268,Bengals,2,0,1,2008
269,Bears,2,1,1,2008
270,Panthers,2,0,0,2008
271,Bills,0,0,3,2008
272,Ravens,1,3,5,2008
273,Falcons,0,1,2,2008
274,Redskins,0,0,0,2009
275,Buccaneers,0,0,2,2009
276,Seahawks,1,0,2,2009
277,49ers,2,0,1,2009
278,Chargers,2,1,1,2009
279,Steelers,1,0,2,2009
280,Cardinals,0,0,1,2009
281,Eagles,2,2,2,2009
282,Jets,1,0,1,2009
283,Giants,1,0,2,2009
284,Saints,3,0,5,2009
285,Patriots,0,0,3,2009
286,Vikings,1,1,0,2009
287,Dolphins,1,0,1,2009
288,Raiders,0,0,0,2009
289,Rams,0,0,1,2009
290,Chiefs,1,1,2,2009
291,Jaguars,0,0,0,2009
292,Colts,0,0,2,2009
293,Texans,1,2,1,2009
294,Titans,0,0,4,2009
295,Packers,1,1,3,2009
296,Lions,1,2,2,2009
297,Broncos,2,0,0,2009
298,Cowboys,0,0,1,2009
299,Browns,0,1,0,2009
300,Bengals,1,0,2,2009
301,Bears,0,1,1,2009
302,Panthers,0,2,1,2009
303,Bills,0,0,2,2009
304,Ravens,1,0,2,2009
305,Falcons,2,0,1,2009
306,Redskins,1,0,1,2010
307,Buccaneers,0,0,3,2010
308,Seahawks,0,1,2,2010
309,49ers,0,0,3,2010
310,Chargers,0,1,3,2010
311,Steelers,0,0,3,2010
312,Cardinals,4,0,3,2010
313,Eagles,1,0,1,2010
314,Jets,0,2,3,2010
315,Giants,0,0,0,2010
316,Saints,0,1,2,2010
317,Patriots,1,0,4,2010
318,Vikings,1,0,1,2010
319,Dolphins,1,1,0,2010
320,Raiders,1,2,2,2010
321,Rams,0,1,0,2010
322,Chiefs,0,0,3,2010
323,Jaguars,0,0,0,2010
324,Colts,1,0,2,2010
325,Texans,0,0,0,2010
326,Titans,0,2,1,2010
327,Packers,1,0,3,2010
328,Lions,1,1,2,2010
329,Broncos,1,0,0,2010
330,Cowboys,1,0,3,2010
331,Browns,1,0,2,2010
332,Bengals,1,0,1,2010
333,Bears,0,0,1,2010
334,Panthers,0,1,1,2010
335,Bills,1,0,2,2010
336,Ravens,0,0,3,2010
337,Falcons,1,0,2,2010
338,Redskins,0,0,1,2011
