,Team,Att,Cmp,Cmp_%,Yds/Att,Pass_Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY,Att_Rush,Rush_Yds,YPC,TDC,20+C,40+C,LngC,Rush_1st,Rush_1st%,Rush_FUM,Tot_TD,Years
660,Seahawks,495,324,65.5,7.7,3815,30,7,103.1,166,33.5,56,12,84,46,383,413,2074,5,18,18,3,73,106,25.7,4,49,2021
661,49ers,514,343,66.7,8.6,4437,26,14,99.2,200,38.9,63,11,83,33,216,499,2166,4.3,22,12,1,49,130,26.1,5,50,2021
662,Chargers,674,443,65.7,7.4,5014,38,15,97.4,256,38,53,15,72,31,214,423,1834,4.3,18,7,1,75,112,26.5,3,58,2021
663,Steelers,664,425,64,6,4017,23,11,85.3,204,30.7,41,9,59,38,239,411,1583,3.9,10,9,0,37,85,20.7,0,34,2021
664,Cardinals,591,415,70.2,7.8,4619,27,11,100.6,214,36.2,62,11,77,39,343,496,2076,4.2,23,10,3,57,127,25.6,16,52,2021
665,Eagles,494,307,62.1,7.3,3585,20,10,89.2,167,33.8,51,5,91,31,181,550,2715,4.9,25,17,0,38,163,29.6,6,50,2021
666,Jets,603,357,59.2,6.6,3959,20,20,76,195,32.3,52,6,62,53,418,380,1667,4.4,14,9,2,55,87,22.9,1,36,2021
667,Giants,593,351,59.2,5.8,3463,15,20,70.1,171,28.8,31,6,60,38,267,419,1688,4,8,9,2,46,90,21.5,4,24,2021
668,Saints,504,293,58.1,6.8,3437,29,13,87.4,165,32.7,41,8,72,37,251,510,1991,3.9,12,9,1,44,113,22.2,2,43,2021
669,Patriots,535,364,68,7.7,4098,24,13,95.5,187,35,60,8,75,28,241,489,2151,4.4,24,11,1,64,139,28.4,7,51,2021
670,Vikings,604,398,65.9,7.4,4450,34,7,101.6,202,33.4,63,10,64,30,212,449,1930,4.3,10,13,2,66,103,22.9,6,48,2021
671,Dolphins,615,404,65.7,6.4,3936,21,14,85.4,206,33.5,45,8,65,40,285,442,1568,3.5,12,5,0,30,87,19.7,5,39,2021
672,Raiders,628,429,68.3,7.7,4808,23,14,93.8,217,34.6,67,10,61,40,241,414,1617,3.9,14,7,0,31,95,22.9,9,37,2021
673,Rams,607,406,66.9,8.1,4893,41,18,101.6,233,38.4,65,18,79,31,251,420,1683,4,10,3,0,39,99,23.6,3,52,2021
674,Chiefs,675,448,66.4,7.3,4937,37,13,98.1,267,39.6,58,11,75,28,146,431,1955,4.5,16,9,1,51,119,27.6,8,57,2021
675,Jaguars,604,361,59.8,6.1,3674,12,17,72.1,178,29.5,44,5,58,32,238,392,1755,4.5,13,7,2,66,92,23.5,6,28,2021
676,Colts,521,324,62.2,6.9,3588,27,8,93.5,167,32.1,42,9,76,32,227,499,2540,5.1,22,19,5,83,154,30.9,7,52,2021
677,Texans,546,354,64.8,6.6,3630,21,15,85.2,162,29.7,44,8,67,44,325,420,1422,3.4,8,6,0,36,77,18.3,5,31,2021
678,Titans,535,359,67.1,7,3745,22,14,90,194,36.3,35,7,57,47,327,551,2404,4.4,23,11,3,76,134,24.3,9,49,2021
679,Packers,593,402,67.8,7.6,4526,39,7,107.4,235,39.6,61,11,75,33,211,446,1900,4.3,13,7,1,57,109,24.4,5,54,2021
680,Lions,593,396,66.8,6.5,3884,23,14,88.1,193,32.5,49,5,75,36,286,427,1886,4.4,12,12,2,57,104,24.4,6,35,2021
681,Broncos,541,354,65.4,7.1,3856,20,9,91.7,179,33.1,46,7,64,40,263,455,2025,4.5,16,10,3,70,124,27.3,7,37,2021
682,Cowboys,647,444,68.6,7.7,4963,40,11,104.8,248,38.3,63,9,73,33,163,473,2119,4.5,15,11,2,58,111,23.5,8,64,2021
683,Browns,520,320,61.5,7,3619,21,14,84.6,177,34,47,9,71,49,299,485,2471,5.1,20,18,2,70,138,28.5,5,43,2021
684,Bengals,555,384,69.2,8.7,4806,36,14,106.9,208,37.5,63,16,82,55,403,436,1742,4,16,8,1,46,96,22,2,54,2021
685,Bears,542,332,61.3,6.7,3635,16,20,75.5,180,33.2,40,7,64,58,428,475,2018,4.2,14,13,1,41,119,25.1,5,33,2021
686,Panthers,599,348,58.1,6,3573,14,21,68.5,174,29,36,5,64,52,334,455,1842,4,17,8,0,33,118,25.9,10,32,2021
687,Bills,655,415,63.4,6.8,4450,36,16,91.3,236,36,51,8,61,27,166,461,2209,4.8,20,18,2,46,134,29.1,8,57,2021
688,Ravens,611,396,64.8,7,4267,21,18,84.4,209,34.2,54,6,49,57,306,517,2479,4.8,18,15,1,46,159,30.8,7,41,2021
689,Falcons,573,377,65.8,7,3987,20,15,86.6,196,34.2,44,7,64,40,274,393,1451,3.7,11,2,0,39,75,19.1,9,33,2021
