,Team,Att,Cmp,Cmp_%,Yds/Att,Pass_Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY,Att_Rush,Rush_Yds,YPC,TDC,20+C,40+C,LngC,Rush_1st,Rush_1st%,Rush_FUM,Tot_TD,Years
564,Seahawks,427,280,65.6,8.1,3448,35,7,110.9,156,36.5,47,13,66,51,355,534,2560,4.8,15,17,2,61,133,24.9,6,52,2018
565,49ers,532,331,62.2,8,4247,26,20,87.8,201,37.8,61,12,85,48,380,423,1902,4.5,7,15,3,66,98,23.2,13,35,2018
566,Chargers,512,348,68,8.4,4316,32,12,104.9,213,41.6,60,10,75,34,227,399,1873,4.7,16,16,1,41,100,25.1,2,51,2018
567,Steelers,689,459,66.6,7.5,5174,35,17,95.5,251,36.4,62,16,97,24,166,345,1445,4.2,16,10,0,30,88,25.5,4,54,2018
568,Cardinals,495,283,57.2,5.8,2884,15,18,69,137,27.7,31,4,75,52,361,355,1342,3.8,9,6,1,53,76,21.4,6,27,2018
569,Eagles,599,422,70.5,7.6,4524,29,11,100.7,221,36.9,52,9,83,40,249,398,1570,3.9,12,7,0,32,94,23.6,5,41,2018
570,Jets,524,299,57.1,6.5,3404,18,19,73,157,30,44,5,76,37,239,410,1622,4,11,11,3,77,84,20.5,9,34,2018
571,Giants,583,382,65.5,7.6,4405,23,12,92.7,208,35.7,59,12,58,47,358,354,1650,4.7,13,17,7,78,71,20.1,0,39,2018
572,Saints,519,381,73.4,8,4174,33,7,112.3,210,40.5,59,7,72,20,132,471,2025,4.3,26,9,1,49,134,28.5,7,60,2018
573,Patriots,574,378,65.9,7.7,4405,29,11,97.8,206,35.9,54,8,63,21,147,478,2037,4.3,18,12,0,34,131,27.4,2,51,2018
574,Vikings,606,425,70.1,7.1,4298,30,10,99.7,218,36,47,7,75,40,262,357,1493,4.2,9,13,1,70,66,18.5,6,42,2018
575,Dolphins,455,292,64.2,7.3,3309,26,13,93,153,33.6,34,9,75,52,409,371,1738,4.7,7,12,3,75,75,20.2,7,38,2018
576,Raiders,556,382,68.7,7.3,4057,19,10,93.6,197,35.4,52,7,66,52,306,387,1628,4.2,9,8,2,52,86,22.2,8,30,2018
577,Rams,568,368,64.8,8.3,4730,32,12,100.7,236,41.5,69,9,70,33,223,459,2231,4.9,23,14,2,56,134,29.2,2,60,2018
578,Chiefs,583,385,66,8.8,5126,50,12,113.8,239,41,76,15,89,26,171,387,1855,4.8,16,19,1,45,108,27.9,4,71,2018
579,Jaguars,536,329,61.4,6.4,3431,15,13,79.1,164,30.6,41,3,80,53,322,416,1723,4.1,7,9,2,43,92,22.1,5,25,2018
580,Colts,644,432,67.1,7.1,4595,39,15,98.2,237,36.8,53,7,68,18,134,408,1718,4.2,13,9,2,53,96,23.5,5,52,2018
581,Texans,506,345,68.2,8.2,4165,26,9,102.9,202,39.9,51,8,73,62,384,472,2021,4.3,12,8,2,97,94,19.9,4,42,2018
582,Titans,437,293,67,7.4,3255,16,12,89.8,156,35.7,37,6,66,47,280,454,2023,4.5,15,10,2,99,106,23.3,4,34,2018
583,Packers,640,392,61.3,7.2,4629,25,4,93.7,208,32.5,57,16,75,53,391,333,1667,5,14,10,1,67,98,29.4,4,41,2018
584,Lions,574,375,65.3,6.7,3844,22,12,88.5,201,35,44,6,67,41,268,404,1660,4.1,11,10,1,71,91,22.5,3,35,2018
585,Broncos,588,367,62.4,6.7,3930,19,15,82.1,181,30.8,53,11,64,34,235,393,1907,4.9,18,12,3,65,107,27.2,4,39,2018
586,Cowboys,527,356,67.6,7.4,3885,22,8,96.7,184,34.9,39,9,90,56,347,439,1963,4.5,13,12,1,41,113,25.7,10,36,2018
587,Browns,574,353,61.5,7.4,4261,29,17,88.8,189,32.9,60,11,71,38,254,411,1893,4.6,15,18,5,92,93,22.6,6,44,2018
588,Bengals,542,331,61.1,6.6,3569,27,13,87,182,33.6,53,1,49,37,279,359,1682,4.7,13,16,3,51,92,25.6,2,45,2018
589,Bears,512,344,67.2,7.3,3747,28,14,95.4,177,34.6,46,11,70,33,183,468,1938,4.1,16,17,1,42,108,23.1,9,50,2018
